"open","high","low","close","volume","will5","will14","ema12","next1"
641.57,684.5,630,642.08,6.5,-72.74285714,-28.85925926,636.363359,641.82
642.08,665.93,560,641.82,18.36,-34.2811245,-39.65307365,637.2028423,651.08
641.82,660,550.28,651.08,7.9,-24.89941886,-40.54117647,639.3377896,653.4
651.08,657.99,620,653.4,4.78,-23.17091343,-39.17647059,641.5012066,631.24
653.4,654.91,550,631.24,24.79,-39.59851301,-52.21176471,639.9225594,646
631.24,646,618.29,646,3.2,-17.19140861,-43.52941176,640.8575503,651.95
646,652,639,651.95,7.62,-7.318181818,-40.02941176,642.564081,637.73
651.95,651.95,616,637.73,1.91,-18.76099639,-48.39411765,641.8203762,619.78
637.73,637.73,610.01,619.78,9.05,-33.48584501,-51.2027972,638.4295491,620
619.78,633.66,612.22,620,4.86,-76.2086211,-51.04895105,635.5942339,590
620,625.02,590,590,8.49,-100,-70.26022305,628.5797364,590
590,615.23,580,590,16.27,-86.10145935,-70.26022305,622.6443923,572.3
590,596,554.05,572.3,11.84,-78.19072658,-83.42007435,614.8991012,574.22
572.3,596,566.36,574.22,1.31,-74.66398694,-81.99256506,608.6407779,585.4
574.22,592.54,554.5,585.4,5.69,-55.82640552,-69.46433192,605.0652736,579.02
585.4,591.15,579,579.02,5.73,-59.1860085,-73.61818182,601.0583084,585.09
579.02,641.14,579,585.09,13.33,-64.35870938,-67.50625058,598.6016456,502.78
585.09,599.27,502.78,502.78,34.78,-100,-100,583.859854,516.48
502.78,553,500,516.48,44.09,-88.32365028,-89.15789474,573.4937226,514.99
516.48,518,505,514.99,6.11,-89.37933966,-90.13815789,564.4931499,467.1
514.99,514.99,436.07,467.1,33.23,-84.86858146,-85.62627386,549.5095884,462.39
467.1,530,443.35,462.39,17.6,-83.87254902,-87.16535817,536.1065748,490.73
462.39,503.23,462.39,490.73,17.55,-53.25408364,-73.34568684,529.1255633,443.63
490.73,497.15,443.63,443.63,15.11,-91.95145321,-96.31345394,515.9723997,458.6
443.63,463.7,426.45,458.6,15.54,-68.95219701,-85.02491965,507.1458767,458.84
458.6,550,440,458.84,21.14,-73.78389316,-84.91313056,499.7142033,467.85
458.84,467.85,447.57,467.85,0.9441,-66.49129907,-80.71638176,494.8120182,461.82
467.85,469.44,450,461.82,5.12,-71.3719142,-83.52508268,489.7363231,462.08
461.82,475.32,450,462.08,7.09,-71.16147309,-83.40397783,485.4815042,454.39
462.08,465.82,454.38,454.39,3.32,-86.91818182,-86.98588663,480.6981958,461.09
454.39,462.09,450,461.09,1.27,-51.27927928,-79.95602361,477.6815503,383.08
461.09,461.09,383.08,383.08,17.11,-100,-100,463.1274656,430
383.08,583.75,353.76,430,16.22,-66.85073264,-66.85073264,458.0309325,448
430,450,429.01,448,10.71,-59.0243054,-59.0243054,456.4877121,429.79
448,448,407.07,429.79,9.32,-66.94204096,-66.94204096,452.3803718,459.38
429.79,480.07,411.34,459.38,42.64,-54.07626419,-54.07626419,453.4572377,523.74
459.38,573.67,450.5,523.74,30.52,-26.0924388,-26.0924388,464.2699703,523.52
523.74,550.8,490.56,523.52,51.73,-30.10204082,-26.18809513,473.3853595,504.29
523.52,530.36,495.53,504.29,16.15,-41.64465786,-34.54932823,478.1399196,485.56
504.29,515,477.19,485.56,31.51,-54.27832194,-42.69316057,479.2814704,504.5
485.56,525.28,479.96,504.5,10.97,-56.15815539,-34.45801991,483.1612442,504.73
504.49,510,500,504.73,1.54,-62.58660508,-34.35801557,486.4795143,496.42
504.73,517.31,485,496.42,17.33,-63.83298853,-37.97121614,488.0088198,489.72
496.42,510.49,484.62,489.72,7.49,-73.94468705,-40.88438628,488.2720783,495.62
489.72,504.5,489,495.62,7.02,-65.44571933,-38.31905735,489.4025278,501.95
495.62,501.95,490,501.95,3.58,-46.98684613,-35.56676377,491.3329081,471.02
501.95,503.48,449,471.02,27.38,-67.76460255,-61.61464586,488.2078453,463.7
471.02,476.18,456.75,463.7,3.39,-76.09367377,-66.00840336,484.4374076,438.72
463.7,463.7,438.72,438.72,2.91,-100,-83.13312388,477.4039603,446.18
438.72,455.09,429.09,446.18,6.12,-77.02648205,-88.17955457,472.6002741,445.68
446.18,454.62,435.65,445.68,7.31,-77.69861541,-86.36923835,468.4586935,448.34
445.68,452.82,441.23,448.34,9.06,-59.12083245,-80.9914091,465.3635098,459.32
448.34,464.42,448,459.32,14.51,-14.43532409,-68.5726167,464.4337391,455.16
459.32,459.32,446.49,455.16,7.08,-26.21001981,-72.89739058,463.00701,441.04
455.16,455.16,432.43,441.04,8.5,-73.08533917,-86.45431875,459.62747,442
441.04,445.4,431.17,442,1.77,-67.42857143,-85.36613013,456.9155515,429.18
