"open","high","low","close","volume","will14","ema26","next1"
635.79,679.06,593.68,638.1,39.7,-67.34376158,728.1185994,636.52
638.1,652.51,623,636.52,20.84,-67.46145167,721.333518,630.16
636.52,640,602.91,630.16,13,-68.40736216,714.5799241,575.72
630.16,641.36,565.57,575.72,49.97,-88.57954798,704.2940038,572.27
575.72,597.05,547.72,572.27,28.37,-88.21863902,694.5144479,605.43
572.27,620.9,567.55,605.43,13.24,-72.30540359,687.9155999,616.88
605.43,650.28,600.91,616.88,21.05,-65.46834432,682.6537036,572
616.88,616.9,540.64,572,29.7,-82.51561106,674.457133,522.84
572,572,450,522.84,60.12,-72.4674932,663.2262343,593.14
522.84,650,522.84,593.14,105.88,-44.94615385,658.0346614,596.49
593.14,629.9,580.5,596.49,45.84,-43.65769231,653.4757975,573.94
596.49,599,570,573.94,29.32,-46.75659421,647.584257,575
573.94,605,550,575,8.04,-45.4291452,642.2076454,578
575,588.08,572.41,578,2.16,-44.11944469,637.4515235,669.75
578,700,578,669.75,67.58,-12.1,639.8440032,680.6
669.75,720,661.48,680.6,27.98,-14.59259259,642.8629659,680.99
680.6,690.17,660.01,680.99,5.23,-14.44814815,645.6871907,665.66
680.99,693,660.1,665.66,4.39,-20.12592593,647.166658,641.48
665.66,680.46,628.73,641.48,13.85,-29.08148148,646.7454241,636.01
641.48,667.99,623,636.01,4.22,-31.10740741,645.9502075,641.57
636.01,658,629.05,641.57,1.82,-29.04814815,645.6257477,642.08
641.57,684.5,630,642.08,6.5,-28.85925926,645.3630997,641.82
642.08,665.93,560,641.82,18.36,-39.65307365,645.1006479,651.08
641.82,660,550.28,651.08,7.9,-40.54117647,645.5435629,653.4
651.08,657.99,620,653.4,4.78,-39.17647059,646.1255212,631.24
653.4,654.91,550,631.24,24.79,-52.21176471,645.02289,646
631.24,646,618.29,646,3.2,-43.52941176,645.0952685,651.95
646,652,639,651.95,7.62,-40.02941176,645.6030264,637.73
651.95,651.95,616,637.73,1.91,-48.39411765,645.0198392,619.78
637.73,637.73,610.01,619.78,9.05,-51.2027972,643.1502215,620
619.78,633.66,612.22,620,4.86,-51.04895105,641.4353903,590
620,625.02,590,590,8.49,-70.26022305,637.6253614,590
590,615.23,580,590,16.27,-70.26022305,634.0975568,572.3
590,596,554.05,572.3,11.84,-83.42007435,629.51996,574.22
572.3,596,566.36,574.22,1.31,-81.99256506,625.4236667,585.4
574.22,592.54,554.5,585.4,5.69,-69.46433192,622.4589506,579.02
585.4,591.15,579,579.02,5.73,-73.61818182,619.2412506,585.09
579.02,641.14,579,585.09,13.33,-67.50625058,616.7115283,502.78
585.09,599.27,502.78,502.78,34.78,-100,608.2721559,516.48
502.78,553,500,516.48,44.09,-89.15789474,601.4727369,514.99
516.48,518,505,514.99,6.11,-90.13815789,595.0666083,467.1
514.99,514.99,436.07,467.1,33.23,-85.62627386,585.5876002,462.39
467.1,530,443.35,462.39,17.6,-87.16535817,576.4618521,490.73
462.39,503.23,462.39,490.73,17.55,-73.34568684,570.1113445,443.63
490.73,497.15,443.63,443.63,15.11,-96.31345394,560.742356,458.6
443.63,463.7,426.45,458.6,15.54,-85.02491965,553.1762556,458.84
458.6,550,440,458.84,21.14,-84.91313056,546.1883848,467.85
458.84,467.85,447.57,467.85,0.9441,-80.71638176,540.3855415,461.82
467.85,469.44,450,461.82,5.12,-83.52508268,534.5658717,462.08
461.82,475.32,450,462.08,7.09,-83.40397783,529.1965479,454.39
462.08,465.82,454.38,454.39,3.32,-86.98588663,523.6553221,461.09
454.39,462.09,450,461.09,1.27,-79.95602361,519.0208538,383.08
461.09,461.09,383.08,383.08,17.11,-100,508.951161,430
383.08,583.75,353.76,430,16.22,-66.85073264,503.1029268,448
430,450,429.01,448,10.71,-59.0243054,499.0212285,429.79
448,448,407.07,429.79,9.32,-66.94204096,493.8929894,459.38
429.79,480.07,411.34,459.38,42.64,-54.07626419,491.3364716,523.74
459.38,573.67,450.5,523.74,30.52,-26.0924388,493.736733,523.52
523.74,550.8,490.56,523.52,51.73,-26.18809513,495.9429009,504.29
523.52,530.36,495.53,504.29,16.15,-34.54932823,496.5612046,485.56
504.29,515,477.19,485.56,31.51,-42.69316057,495.7463005,504.5
485.56,525.28,479.96,504.5,10.97,-34.45801991,496.3947227,504.73
504.49,510,500,504.73,1.54,-34.35801557,497.0121507,496.42
504.73,517.31,485,496.42,17.33,-37.97121614,496.9682876,489.72
496.42,510.49,484.62,489.72,7.49,-40.88438628,496.4313774,495.62
489.72,504.5,489,495.62,7.02,-38.31905735,496.3712754,501.95
495.62,501.95,490,501.95,3.58,-35.56676377,496.7845143,471.02
501.95,503.48,449,471.02,27.38,-61.61464586,494.8760317,463.7
471.02,476.18,456.75,463.7,3.39,-66.00840336,492.566696,438.72
463.7,463.7,438.72,438.72,2.91,-83.13312388,488.5780519,446.18
438.72,455.09,429.09,446.18,6.12,-88.17955457,485.4374555,445.68
446.18,454.62,435.65,445.68,7.31,-86.36923835,482.4924588,448.34
445.68,452.82,441.23,448.34,9.06,-80.9914091,479.962647,459.32
448.34,464.42,448,459.32,14.51,-68.5726167,478.433562,455.16
459.32,459.32,446.49,455.16,7.08,-72.89739058,476.7095945,441.04
455.16,455.16,432.43,441.04,8.5,-86.45431875,474.0674023,442
441.04,445.4,431.17,442,1.77,-85.36613013,471.6920392,429.18
442,442,429.18,429.18,5.66,-99.88943489,468.5429992,431.87
429.18,439.69,422.19,431.87,5.75,-88.23958207,465.8264808,441.89
431.87,452.74,431.61,441.89,20.36,-75.76577685,464.0534081,448.26
441.89,452,441.81,448.26,5.79,-67.92963464,462.883526,450.63
448.26,459.22,441.81,450.63,4.04,-47.32357844,461.9758574,454.99
450.63,458,446.1,454.99,5.53,-22.33009709,461.4583865,441.5
454.99,454.99,432.88,441.5,11.53,-54.27421265,459.9799875,440.82
441.5,445.22,432.21,440.82,7.19,-55.88444234,458.5607292,440.78
440.82,444.76,436.45,440.78,4.51,-55.97916173,457.2436381,445.52
440.78,445.52,440.78,445.52,0.8711,-44.75491357,456.3752205,449.59
445.52,449.59,440.89,449.59,3.02,-26.20522489,455.8726116,453.83
449.59,453.83,447.1,453.83,5.59,-14.5557656,455.721307,453.83
453.83,453.83,446.2,453.83,0.2061,-14.5557656,455.5812102,445.56
453.83,453.83,445.56,445.56,2.58,-36.88900891,454.8388983,445.56
445.56,445.56,445.56,445.56,0,-36.88900891,454.1515725,493.43
445.56,498.84,445.56,493.43,25.28,-8.047002826,457.0610857,494.77
493.43,497.67,490.85,494.77,4.24,-6.108359598,459.8543386,530
494.77,530,494.77,530,32.85,0,465.0503135,521.47
