"open","high","low","close","volume","will5","ema12","next1"
739.73,759.11,737.15,753.99,10.13,-11.60734527,731.080095,799.04
753.99,817.56,750,799.04,18.64,-18.05772231,741.535465,808.52
799.04,819.9,771.18,808.52,76.87,-12.65850945,751.8407781,827.65
808.52,840,783.02,827.65,33.23,-11.22727273,763.5037353,913.93
827.65,980,827.41,913.93,54.92,-27.2060943,786.6462375,936.27
898.73,1019,886.44,936.27,75.02,-30.75464684,809.6652779,837.02
936.27,945,810,837.02,49.39,-73.43232992,813.8736967,824.98
837.02,899.84,788,824.98,19.31,-82.2188321,815.5823587,850.29
824.98,870,807.42,850.29,8,-73.03463203,820.9219959,857.33
850.29,857.34,817,857.33,8.19,-69.98701299,826.5232273,899.84
857.33,918.05,857.17,899.84,18.75,-28.76433121,837.8027308,860
899.84,900.94,833,860,25.43,-44.6366782,841.2176953,850
860,860,815,850,25.81,-61.51134412,842.5688191,831
850,877.29,805,831,31.72,-77.00132685,840.7890008,850
831,864,828,850,6.71,-60.19460416,842.2060776,826.97
850,865,824,826.97,27.71,-77.100271,839.8620656,804.35
826.97,835.06,788,804.35,26.35,-81.68887893,834.3986709,819.51
804.35,844.14,804,819.51,18.78,-64.7104939,832.1081062,835
819.51,848.9,819.51,835,11.94,-38.96103896,832.5530129,843.77
835,855,830.1,843.77,4.45,-27.57142857,834.2787032,829.01
843.77,845.99,820.1,829.01,6.9,-38.79104478,833.4681335,830.89
829.01,834.53,821,830.89,1.71,-47.2745098,833.0714976,830.89
830.89,830.89,821,830.89,11.58,-67.93462947,832.7358826,794.93
830.89,836.35,783,794.93,24.52,-83.43055556,826.9195929,812.02
794.93,830,794.93,812.02,9.93,-53.92919511,824.6273479,826.72
812.02,840,812.02,826.72,6.57,-23.29824561,824.9492944,790
826.72,840,790,790,23.97,-87.71929825,819.5724798,815.99
790,830,775,815.99,27.48,-36.93846154,819.0213291,795
815.99,826.23,795,795,18.92,-69.23076923,815.32574,808
795,815.23,787.01,808,27.02,-49.23076923,814.1987031,812.19
808,812.63,801,812.19,12.87,-42.78461538,813.8896718,825
812.19,835,803.41,825,6.47,-16.66666667,815.5989531,814.86
825,835,814.86,814.86,7.25,-41.96707647,815.485268,819.78
814.86,819.8,803.65,819.78,7.27,-31.71494061,816.145996,802.4
819.78,819.78,799.58,802.4,11.43,-92.03839639,814.0312274,802.69
802.4,815.9,802.4,802.69,10.42,-91.21964992,812.2864232,767.61
802.69,803.73,767.61,767.61,39.76,-100,805.4131273,723
767.61,775.21,666.35,723,63.49,-63.08243728,792.7341846,693.65
723,730,682.61,693.65,30.6,-82.20686958,777.4904639,696.49
693.65,756.1,680.01,696.49,36.77,-79.84620528,765.0288541,690.2
696.49,748,550,690.2,31.78,-44.74441335,753.5167227,672.6
690.2,720,660,672.6,32.13,-45.56191999,741.0679961,670.67
672.6,714.56,651.31,670.67,18.85,-41.45075206,730.2375352,623.95
670.67,680,595.63,623.95,44.68,-64.11935953,713.8856067,670.34
623.95,710,586.43,670.34,42.45,-39.22222222,707.1862826,656.28
670.34,682.78,646.88,656.28,11.81,-47.70532305,699.3545468,635.79
656.28,668.82,600,635.79,18.52,-61.4766253,689.5753858,638.1
635.79,679.06,593.68,638.1,39.7,-58.18564376,681.6560956,636.52
638.1,652.51,623,636.52,20.84,-59.46427126,674.7120809,630.16
636.52,640,602.91,630.16,13,-59.05723906,667.8579146,575.72
630.16,641.36,565.57,575.72,49.97,-91.05648075,653.6828508,572.27
575.72,597.05,547.72,572.27,28.37,-81.30805543,641.1577969,605.43
572.27,620.9,567.55,605.43,13.24,-44.92795114,635.6612127,616.88
605.43,650.28,600.91,616.88,21.05,-32.56630265,632.7717954,572
616.88,616.9,540.64,572,29.7,-71.39730026,623.4222884,522.84
572,572,450,522.84,60.12,-63.63091672,607.9480902,593.14
522.84,650,522.84,593.14,105.88,-28.53005792,605.6699225,596.49
593.14,629.9,580.5,596.49,45.84,-26.85739964,604.2576267,573.94
596.49,599,570,573.94,29.32,-38.03,599.5933764,575
573.94,605,550,575,8.04,-37.5,595.8097801,578
575,588.08,572.41,578,2.16,-56.62157911,593.0698139,669.75
578,700,578,669.75,67.58,-20.16666667,604.8667656,680.6
669.75,720,661.48,680.6,27.98,-23.17647059,616.5180324,680.99
680.6,690.17,660.01,680.99,5.23,-22.94705882,626.4367967,665.66
680.99,693,660.1,665.66,4.39,-36.81821262,632.4711357,641.48
665.66,680.46,628.73,641.48,13.85,-55.29577465,633.8571148,636.01
641.48,667.99,623,636.01,4.22,-86.58762887,634.1883279,641.57
636.01,658,629.05,641.57,1.82,-73.47142857,635.3239698,642.08
641.57,684.5,630,642.08,6.5,-72.74285714,636.363359,641.82
642.08,665.93,560,641.82,18.36,-34.2811245,637.2028423,651.08
641.82,660,550.28,651.08,7.9,-24.89941886,639.3377896,653.4
651.08,657.99,620,653.4,4.78,-23.17091343,641.5012066,631.24
653.4,654.91,550,631.24,24.79,-39.59851301,639.9225594,646
631.24,646,618.29,646,3.2,-17.19140861,640.8575503,651.95
646,652,639,651.95,7.62,-7.318181818,642.564081,637.73
651.95,651.95,616,637.73,1.91,-18.76099639,641.8203762,619.78
637.73,637.73,610.01,619.78,9.05,-33.48584501,638.4295491,620
619.78,633.66,612.22,620,4.86,-76.2086211,635.5942339,590
620,625.02,590,590,8.49,-100,628.5797364,590
590,615.23,580,590,16.27,-86.10145935,622.6443923,572.3
590,596,554.05,572.3,11.84,-78.19072658,614.8991012,574.22
572.3,596,566.36,574.22,1.31,-74.66398694,608.6407779,585.4
574.22,592.54,554.5,585.4,5.69,-55.82640552,605.0652736,579.02
585.4,591.15,579,579.02,5.73,-59.1860085,601.0583084,585.09
579.02,641.14,579,585.09,13.33,-64.35870938,598.6016456,502.78
585.09,599.27,502.78,502.78,34.78,-100,583.859854,516.48
502.78,553,500,516.48,44.09,-88.32365028,573.4937226,514.99
516.48,518,505,514.99,6.11,-89.37933966,564.4931499,467.1
514.99,514.99,436.07,467.1,33.23,-84.86858146,549.5095884,462.39
467.1,530,443.35,462.39,17.6,-83.87254902,536.1065748,490.73
462.39,503.23,462.39,490.73,17.55,-53.25408364,529.1255633,443.63
490.73,497.15,443.63,443.63,15.11,-91.95145321,515.9723997,458.6
443.63,463.7,426.45,458.6,15.54,-68.95219701,507.1458767,458.84
458.6,550,440,458.84,21.14,-73.78389316,499.7142033,467.85
458.84,467.85,447.57,467.85,0.9441,-66.49129907,494.8120182,461.82
467.85,469.44,450,461.82,5.12,-71.3719142,489.7363231,462.08
461.82,475.32,450,462.08,7.09,-71.16147309,485.4815042,454.39
462.08,465.82,454.38,454.39,3.32,-86.91818182,480.6981958,461.09
454.39,462.09,450,461.09,1.27,-51.27927928,477.6815503,383.08
461.09,461.09,383.08,383.08,17.11,-100,463.1274656,430
383.08,583.75,353.76,430,16.22,-66.85073264,458.0309325,448
430,450,429.01,448,10.71,-59.0243054,456.4877121,429.79
448,448,407.07,429.79,9.32,-66.94204096,452.3803718,459.38
429.79,480.07,411.34,459.38,42.64,-54.07626419,453.4572377,523.74
459.38,573.67,450.5,523.74,30.52,-26.0924388,464.2699703,523.52
523.74,550.8,490.56,523.52,51.73,-30.10204082,473.3853595,504.29
523.52,530.36,495.53,504.29,16.15,-41.64465786,478.1399196,485.56
504.29,515,477.19,485.56,31.51,-54.27832194,479.2814704,504.5
485.56,525.28,479.96,504.5,10.97,-56.15815539,483.1612442,504.73
504.49,510,500,504.73,1.54,-62.58660508,486.4795143,496.42
504.73,517.31,485,496.42,17.33,-63.83298853,488.0088198,489.72
496.42,510.49,484.62,489.72,7.49,-73.94468705,488.2720783,495.62
489.72,504.5,489,495.62,7.02,-65.44571933,489.4025278,501.95
495.62,501.95,490,501.95,3.58,-46.98684613,491.3329081,471.02
501.95,503.48,449,471.02,27.38,-67.76460255,488.2078453,463.7
471.02,476.18,456.75,463.7,3.39,-76.09367377,484.4374076,438.72
463.7,463.7,438.72,438.72,2.91,-100,477.4039603,446.18
438.72,455.09,429.09,446.18,6.12,-77.02648205,472.6002741,445.68
446.18,454.62,435.65,445.68,7.31,-77.69861541,468.4586935,448.34
445.68,452.82,441.23,448.34,9.06,-59.12083245,465.3635098,459.32
448.34,464.42,448,459.32,14.51,-14.43532409,464.4337391,455.16
459.32,459.32,446.49,455.16,7.08,-26.21001981,463.00701,441.04
455.16,455.16,432.43,441.04,8.5,-73.08533917,459.62747,442
441.04,445.4,431.17,442,1.77,-67.42857143,456.9155515,429.18
442,442,429.18,429.18,5.66,-100,452.6485436,431.87
429.18,439.69,422.19,431.87,5.75,-73.92943711,449.4518446,441.89
431.87,452.74,431.61,441.89,20.36,-40.24871095,448.2884839,448.26
441.89,452,441.81,448.26,5.79,-14.66448445,448.2841018,450.63
448.26,459.22,441.81,450.63,4.04,-23.19740751,448.6450092,454.99
450.63,458,446.1,454.99,5.53,-11.4231704,449.6211616,441.5
454.99,454.99,432.88,441.5,11.53,-64.17964506,448.3717521,440.82
441.5,445.22,432.21,440.82,7.19,-68.12291744,447.2099441,440.78
440.82,444.76,436.45,440.78,4.51,-68.27101074,446.2207219,445.52
440.78,445.52,440.78,445.52,0.8711,-48.39084917,446.1129186,449.59
445.52,449.59,440.89,449.59,3.02,-23.70500439,446.6478542,453.83
449.59,453.83,447.1,453.83,5.59,0,447.7527997,453.83
453.83,453.83,446.2,453.83,0.2061,0,448.6877536,445.56
453.83,453.83,445.56,445.56,2.58,-63.37164751,448.2065607,445.56
445.56,445.56,445.56,445.56,0,-63.91035549,447.7993975,493.43
445.56,498.84,445.56,493.43,25.28,-10.1539039,454.8194902,494.77
493.43,497.67,490.85,494.77,4.24,-7.638888889,460.9657225,530
494.77,530,494.77,530,32.85,0,471.5863806,521.47
530,548.05,515.31,521.47,14.82,-25.93423749,479.2607836,530
521.47,530,515.21,530,2.62,-17.61147429,487.0668169,574.05
530,589,530,574.05,15.83,-15.23178808,500.448845,583.2
574.05,589.11,563.68,583.2,10.95,-6.264574942,513.179792,570.92
583.2,594.64,538.84,570.92,26.92,-29.86277225,522.0629009,575.83
570.92,589.16,565.22,575.83,4.52,-23.68122875,530.3347623,570.49
575.83,576.26,564.9,570.49,2.18,-37.36076733,536.5124912,616.08
570.49,628.61,566.15,616.08,18.38,-13.95789239,548.7536464,628.13
616.08,628.13,603.87,628.13,15.4,-0.534699788,560.9653931,627.54
628.13,673.37,621.79,627.54,37.05,-42.25131373,571.2076403,665.58
627.54,672.64,621.79,665.58,10.32,-7.181709228,585.7264649,671.43
665.58,677.91,652.26,671.43,16.68,-5.798138869,598.9116241,650.48
671.43,671.43,525,650.48,59.16,-17.93865673,606.8452204,657.01
650.48,669.75,650.45,657.01,15.16,-13.66817082,614.5628788,653.4
657.01,660,653.4,653.4,5.27,-16.02903669,620.5378205,659.8
653.4,659.8,636.68,659.8,4.75,-11.84356811,626.5781558,646.54
659.8,659.8,646,646.54,0.888,-16.99788295,629.6492088,643.44
646.54,656.44,636.5,643.44,4.65,-79.12781955,631.770869,646.89
643.44,657.72,643.44,646.89,7.13,-55.78723404,634.0968891,617.99
646.89,649.93,617.99,617.99,19.6,-100,631.6189062,565.56
617.99,637.06,552,565.56,75.97,-87.42115028,621.4559975,589.68
565.56,617.31,565.56,589.68,19.43,-64.35868331,616.5673825,575.6
589.68,600,542.96,575.6,15.89,-71.55803416,610.2647083,589.55
575.6,589.55,534.28,589.55,34.51,-52.20925205,607.0778301,597.14
589.55,612.91,574.18,597.14,10.67,-38.84024129,605.5489332,608.97
597.14,608.98,586.25,608.97,2.8,-10.04456221,606.0752511,605.89
608.97,625,603.41,605.89,10,-21.06481481,606.046751,595.93
605.89,627.05,594.12,595.93,8.41,-33.54532715,604.4903277,593.9
595.93,602.79,578.51,593.9,5.81,-62.70096463,602.8610465,590.59
593.9,598.5,581.09,590.59,0.7642,-75.11330861,600.9731932,596.24
590.59,602.33,584.75,596.24,8.34,-63.47342398,600.2450097,584.42
596.24,596.24,584.42,584.42,2.64,-87.82447466,597.8103928,586.15
584.42,595.23,576.13,586.15,2.85,-62.4156039,596.0164862,564.42
586.15,586.15,557.43,564.42,29.23,-84.43207127,591.1554883,583.26
564.42,583.26,564.42,583.26,2.76,-42.47216036,589.9407978,597.69
583.26,600,575.35,597.69,21.78,-5.426356589,591.1329828,596.12
597.69,604.38,590.76,596.12,4.14,-17.59318424,591.9002162,589.76
596.12,602.3,589.76,589.76,0.9983,-31.13951012,591.5709522,637.07
589.76,645,587.72,637.07,18.67,-9.841151651,598.5708057,650
637.07,657.83,634.16,650,12.04,-9.493210475,606.4829894,645.77
650,658.87,638,645.77,25.77,-18.41180604,612.5271449,647.55
645.77,655.08,638.89,647.55,6.04,-15.91004919,617.9152764,635.25
647.55,655,622.6,635.25,10.3,-33.19747013,620.582157,628.99
635.25,635.25,618,628.99,3.74,-73.10986053,621.8756713,629.1
628.99,652.78,628.99,629.1,2.25,-72.84071446,622.9871065,625.99
629.1,638.97,614.74,625.99,6.47,-72.1120476,623.4490901,617.04
625.99,626.87,614.74,617.04,1.44,-94.28713363,622.4630762,627.9
617.04,627.9,615.35,627.9,1.63,-65.40483701,623.2995261,614.47
627.9,632.11,614.47,614.47,0.6427,-100,621.9411374,629.46
614.47,629.46,614.47,629.46,1.5,-38.81632653,623.0978855,632
629.46,639.34,629.46,632,0.6899,-29.51347004,624.4674416,626.5
632,653.49,625.29,626.5,1.05,-69.16965659,624.7801429,626.23
626.5,632.67,618.14,626.23,1.34,-69.86160943,625.0031978,620.03
626.23,626.23,620.03,620.03,0.18,-85.75089698,624.2380905,625.22
620.03,626.16,612.9,625.22,7.41,-69.64769648,624.3891535,624.98
625.22,630.01,610.35,624.98,0.9631,-66.08715809,624.4800529,626
624.98,629,615.17,626,12.29,-29.88351254,624.7138909,630
626,630,626,630,1.56,-0.0508647,625.5271385,619
630,630,619,619,0.5068,-56.00203459,624.5229633,629.77
619,629.77,619,629.77,0.0006352,-1.220752798,625.3301998,618.69
629.77,629.77,618.69,618.69,8.44,-76.26432906,624.3086306,618.62
618.69,623.98,610,618.62,7.5,-56.9,623.4334566,605.64
618.62,623.43,593.86,605.64,17.72,-67.40453791,620.6960018,596.08
605.64,623.22,593.8,596.08,8.67,-93.66138449,616.9089246,600
596.08,607.96,593.8,600,5.06,-82.76341396,614.3075516,600
600,600,600,600,0.1545,-79.45659377,612.1063898,591.9
600,600,574.58,591.9,4.09,-64.54452405,608.9977144,583.21
591.9,597.66,575.07,583.21,2.68,-82.25740132,605.0303737,566.75
583.21,588.98,566.75,566.75,11.67,-100,599.1410855,590.21
566.75,591.95,566.75,590.21,33.05,-29.44360902,597.7670723,596.4
590.21,602.36,584.77,596.4,3.05,-16.73687167,597.5567535,590.49
596.4,601.18,590.49,590.49,2.57,-33.33333333,596.4695607,578.86
590.49,594.8,578.86,578.86,1.79,-65.99269868,593.7603975,596.25
578.86,596.25,578.86,596.25,4.11,-17.15810166,594.1434133,579
596.25,598.03,579,579,9.04,-99.40425532,591.8136574,579
579,579,579,579,0,-99.37275986,589.8423255,580.58
579,593,577.24,580.58,16.81,-83.93458393,588.4173523,590
580.58,590,580.58,590,0.4273,-38.62433862,588.6608366,590
590,590,578.14,590,7.8,-38.62433862,588.8668617,583.24
590,595.36,583.24,583.24,1.66,-66.88741722,588.0011907,572.77
583.24,595.36,572.77,572.77,0.4779,-100,585.6579306,580
572.77,580,566.99,580,3.82,-54.14169898,584.7874797,535.08
580,580,531.64,535.08,4.35,-94.60138104,577.1401751,523.76
535.08,553.83,501,523.76,31.83,-75.87961,568.9278405,530
523.76,530,501,530,22.87,-69.26663841,562.938942,503.52
530,530,500,503.52,12.1,-95.6,553.7975663,500
503.52,539.99,500,500,2.65,-100,545.5210176,455
500,505,455,455,28.55,-100,531.5947072,500.5
455,500.5,455,500.5,77.76,-46.46428992,526.8109061,530
474.02,530,474.02,530,13.53,-11.75432404,527.3015359,505
530,530,500.01,505,4.62,-41.16954936,523.8705304,529.95
