"open","high","low","close","volume","will5","next1"
489.72,504.5,489,495.62,7.02,-65.44571933,501.95
495.62,501.95,490,501.95,3.58,-46.98684613,471.02
501.95,503.48,449,471.02,27.38,-67.76460255,463.7
471.02,476.18,456.75,463.7,3.39,-76.09367377,438.72
463.7,463.7,438.72,438.72,2.91,-100,446.18
438.72,455.09,429.09,446.18,6.12,-77.02648205,445.68
446.18,454.62,435.65,445.68,7.31,-77.69861541,448.34
445.68,452.82,441.23,448.34,9.06,-59.12083245,459.32
448.34,464.42,448,459.32,14.51,-14.43532409,455.16
459.32,459.32,446.49,455.16,7.08,-26.21001981,441.04
455.16,455.16,432.43,441.04,8.5,-73.08533917,442
441.04,445.4,431.17,442,1.77,-67.42857143,429.18
442,442,429.18,429.18,5.66,-100,431.87
429.18,439.69,422.19,431.87,5.75,-73.92943711,441.89
431.87,452.74,431.61,441.89,20.36,-40.24871095,448.26
441.89,452,441.81,448.26,5.79,-14.66448445,450.63
448.26,459.22,441.81,450.63,4.04,-23.19740751,454.99
450.63,458,446.1,454.99,5.53,-11.4231704,441.5
454.99,454.99,432.88,441.5,11.53,-64.17964506,440.82
441.5,445.22,432.21,440.82,7.19,-68.12291744,440.78
440.82,444.76,436.45,440.78,4.51,-68.27101074,445.52
440.78,445.52,440.78,445.52,0.8711,-48.39084917,449.59
445.52,449.59,440.89,449.59,3.02,-23.70500439,453.83
449.59,453.83,447.1,453.83,5.59,0,453.83
453.83,453.83,446.2,453.83,0.2061,0,445.56
453.83,453.83,445.56,445.56,2.58,-63.37164751,445.56
445.56,445.56,445.56,445.56,0,-63.91035549,493.43
445.56,498.84,445.56,493.43,25.28,-10.1539039,494.77
493.43,497.67,490.85,494.77,4.24,-7.638888889,530
494.77,530,494.77,530,32.85,0,521.47
530,548.05,515.31,521.47,14.82,-25.93423749,530
521.47,530,515.21,530,2.62,-17.61147429,574.05
530,589,530,574.05,15.83,-15.23178808,583.2
574.05,589.11,563.68,583.2,10.95,-6.264574942,570.92
583.2,594.64,538.84,570.92,26.92,-29.86277225,575.83
570.92,589.16,565.22,575.83,4.52,-23.68122875,570.49
575.83,576.26,564.9,570.49,2.18,-37.36076733,616.08
570.49,628.61,566.15,616.08,18.38,-13.95789239,628.13
616.08,628.13,603.87,628.13,15.4,-0.534699788,627.54
628.13,673.37,621.79,627.54,37.05,-42.25131373,665.58
627.54,672.64,621.79,665.58,10.32,-7.181709228,671.43
665.58,677.91,652.26,671.43,16.68,-5.798138869,650.48
671.43,671.43,525,650.48,59.16,-17.93865673,657.01
650.48,669.75,650.45,657.01,15.16,-13.66817082,653.4
657.01,660,653.4,653.4,5.27,-16.02903669,659.8
653.4,659.8,636.68,659.8,4.75,-11.84356811,646.54
659.8,659.8,646,646.54,0.888,-16.99788295,643.44
646.54,656.44,636.5,643.44,4.65,-79.12781955,646.89
643.44,657.72,643.44,646.89,7.13,-55.78723404,617.99
646.89,649.93,617.99,617.99,19.6,-100,565.56
617.99,637.06,552,565.56,75.97,-87.42115028,589.68
565.56,617.31,565.56,589.68,19.43,-64.35868331,575.6
589.68,600,542.96,575.6,15.89,-71.55803416,589.55
575.6,589.55,534.28,589.55,34.51,-52.20925205,597.14
589.55,612.91,574.18,597.14,10.67,-38.84024129,608.97
597.14,608.98,586.25,608.97,2.8,-10.04456221,605.89
608.97,625,603.41,605.89,10,-21.06481481,595.93
605.89,627.05,594.12,595.93,8.41,-33.54532715,593.9
595.93,602.79,578.51,593.9,5.81,-62.70096463,590.59
593.9,598.5,581.09,590.59,0.7642,-75.11330861,596.24
590.59,602.33,584.75,596.24,8.34,-63.47342398,584.42
596.24,596.24,584.42,584.42,2.64,-87.82447466,586.15
584.42,595.23,576.13,586.15,2.85,-62.4156039,564.42
586.15,586.15,557.43,564.42,29.23,-84.43207127,583.26
564.42,583.26,564.42,583.26,2.76,-42.47216036,597.69
583.26,600,575.35,597.69,21.78,-5.426356589,596.12
597.69,604.38,590.76,596.12,4.14,-17.59318424,589.76
596.12,602.3,589.76,589.76,0.9983,-31.13951012,637.07
589.76,645,587.72,637.07,18.67,-9.841151651,650
637.07,657.83,634.16,650,12.04,-9.493210475,645.77
650,658.87,638,645.77,25.77,-18.41180604,647.55
645.77,655.08,638.89,647.55,6.04,-15.91004919,635.25
647.55,655,622.6,635.25,10.3,-33.19747013,628.99
635.25,635.25,618,628.99,3.74,-73.10986053,629.1
628.99,652.78,628.99,629.1,2.25,-72.84071446,625.99
629.1,638.97,614.74,625.99,6.47,-72.1120476,617.04
625.99,626.87,614.74,617.04,1.44,-94.28713363,627.9
617.04,627.9,615.35,627.9,1.63,-65.40483701,614.47
627.9,632.11,614.47,614.47,0.6427,-100,629.46
614.47,629.46,614.47,629.46,1.5,-38.81632653,632
629.46,639.34,629.46,632,0.6899,-29.51347004,626.5
632,653.49,625.29,626.5,1.05,-69.16965659,626.23
626.5,632.67,618.14,626.23,1.34,-69.86160943,620.03
626.23,626.23,620.03,620.03,0.18,-85.75089698,625.22
620.03,626.16,612.9,625.22,7.41,-69.64769648,624.98
625.22,630.01,610.35,624.98,0.9631,-66.08715809,626
624.98,629,615.17,626,12.29,-29.88351254,630
626,630,626,630,1.56,-0.0508647,619
630,630,619,619,0.5068,-56.00203459,629.77
619,629.77,619,629.77,0.0006352,-1.220752798,618.69
629.77,629.77,618.69,618.69,8.44,-76.26432906,618.62
618.69,623.98,610,618.62,7.5,-56.9,605.64
618.62,623.43,593.86,605.64,17.72,-67.40453791,596.08
605.64,623.22,593.8,596.08,8.67,-93.66138449,600
596.08,607.96,593.8,600,5.06,-82.76341396,600
600,600,600,600,0.1545,-79.45659377,591.9
600,600,574.58,591.9,4.09,-64.54452405,583.21
591.9,597.66,575.07,583.21,2.68,-82.25740132,566.75
583.21,588.98,566.75,566.75,11.67,-100,590.21
566.75,591.95,566.75,590.21,33.05,-29.44360902,596.4
590.21,602.36,584.77,596.4,3.05,-16.73687167,590.49
596.4,601.18,590.49,590.49,2.57,-33.33333333,578.86
590.49,594.8,578.86,578.86,1.79,-65.99269868,596.25
578.86,596.25,578.86,596.25,4.11,-17.15810166,579
596.25,598.03,579,579,9.04,-99.40425532,579
579,579,579,579,0,-99.37275986,580.58
579,593,577.24,580.58,16.81,-83.93458393,590
580.58,590,580.58,590,0.4273,-38.62433862,590
590,590,578.14,590,7.8,-38.62433862,583.24
590,595.36,583.24,583.24,1.66,-66.88741722,572.77
