"open","high","low","close","volume","ema26","ltc","next1"
454.39,462.09,450,461.09,1.27,519.0208538,0.02562,383.08
461.09,461.09,383.08,383.08,17.11,508.951161,0.02302,430
383.08,583.75,353.76,430,16.22,503.1029268,0.02573,448
430,450,429.01,448,10.71,499.0212285,0.02554,429.79
448,448,407.07,429.79,9.32,493.8929894,0.0248,459.38
429.79,480.07,411.34,459.38,42.64,491.3364716,0.02506,523.74
459.38,573.67,450.5,523.74,30.52,493.736733,0.02528,523.52
523.74,550.8,490.56,523.52,51.73,495.9429009,0.02542,504.29
523.52,530.36,495.53,504.29,16.15,496.5612046,0.02553,485.56
504.29,515,477.19,485.56,31.51,495.7463005,0.02537,504.5
485.56,525.28,479.96,504.5,10.97,496.3947227,0.02582,504.73
504.49,510,500,504.73,1.54,497.0121507,0.02557,496.42
504.73,517.31,485,496.42,17.33,496.9682876,0.0253,489.72
496.42,510.49,484.62,489.72,7.49,496.4313774,0.02512,495.62
489.72,504.5,489,495.62,7.02,496.3712754,0.02495,501.95
495.62,501.95,490,501.95,3.58,496.7845143,0.0254,471.02
501.95,503.48,449,471.02,27.38,494.8760317,0.02394,463.7
471.02,476.18,456.75,463.7,3.39,492.566696,0.02342,438.72
463.7,463.7,438.72,438.72,2.91,488.5780519,0.02287,446.18
438.72,455.09,429.09,446.18,6.12,485.4374555,0.02327,445.68
446.18,454.62,435.65,445.68,7.31,482.4924588,0.02361,448.34
445.68,452.82,441.23,448.34,9.06,479.962647,0.02466,459.32
448.34,464.42,448,459.32,14.51,478.433562,0.02476,455.16
459.32,459.32,446.49,455.16,7.08,476.7095945,0.02372,441.04
455.16,455.16,432.43,441.04,8.5,474.0674023,0.02371,442
441.04,445.4,431.17,442,1.77,471.6920392,0.02383,429.18
442,442,429.18,429.18,5.66,468.5429992,0.02382,431.87
429.18,439.69,422.19,431.87,5.75,465.8264808,0.02434,441.89
431.87,452.74,431.61,441.89,20.36,464.0534081,0.02412,448.26
441.89,452,441.81,448.26,5.79,462.883526,0.02411,450.63
448.26,459.22,441.81,450.63,4.04,461.9758574,0.02407,454.99
450.63,458,446.1,454.99,5.53,461.4583865,0.02394,441.5
454.99,454.99,432.88,441.5,11.53,459.9799875,0.02384,440.82
441.5,445.22,432.21,440.82,7.19,458.5607292,0.02385,440.78
440.82,444.76,436.45,440.78,4.51,457.2436381,0.02389,445.52
440.78,445.52,440.78,445.52,0.8711,456.3752205,0.02378,449.59
445.52,449.59,440.89,449.59,3.02,455.8726116,0.02355,453.83
449.59,453.83,447.1,453.83,5.59,455.721307,0.02341,453.83
453.83,453.83,446.2,453.83,0.2061,455.5812102,0.02336,445.56
453.83,453.83,445.56,445.56,2.58,454.8388983,0.02336,445.56
445.56,445.56,445.56,445.56,0,454.1515725,0.02338,493.43
445.56,498.84,445.56,493.43,25.28,457.0610857,0.02223,494.77
493.43,497.67,490.85,494.77,4.24,459.8543386,0.02179,530
494.77,530,494.77,530,32.85,465.0503135,0.0204,521.47
530,548.05,515.31,521.47,14.82,469.2295495,0.02146,530
521.47,530,515.21,530,2.62,473.7310644,0.0214,574.05
530,589,530,574.05,15.83,481.1620967,0.02031,583.2
574.05,589.11,563.68,583.2,10.95,488.7204599,0.01992,570.92
583.2,594.64,538.84,570.92,26.92,494.8093147,0.01977,575.83
570.92,589.16,565.22,575.83,4.52,500.8108469,0.01934,570.49
575.83,576.26,564.9,570.49,2.18,505.9722657,0.01914,616.08
570.49,628.61,566.15,616.08,18.38,514.1283941,0.01847,628.13
616.08,628.13,603.87,628.13,15.4,522.5729575,0.01773,627.54
628.13,673.37,621.79,627.54,37.05,530.348294,0.01749,665.58
627.54,672.64,621.79,665.58,10.32,540.3654574,0.01736,671.43
665.58,677.91,652.26,671.43,16.68,550.0739421,0.01729,650.48
671.43,671.43,525,650.48,59.16,557.5114278,0.01733,657.01
650.48,669.75,650.45,657.01,15.16,564.8816924,0.01726,653.4
657.01,660,653.4,653.4,5.27,571.4386041,0.01715,659.8
653.4,659.8,636.68,659.8,4.75,577.9838927,0.01717,646.54
659.8,659.8,646,646.54,0.888,583.0621229,0.01723,643.44
646.54,656.44,636.5,643.44,4.65,587.5345582,0.01739,646.89
643.44,657.72,643.44,646.89,7.13,591.9312576,0.0171,617.99
646.89,649.93,617.99,617.99,19.6,593.8615348,0.01724,565.56
617.99,637.06,552,565.56,75.97,591.7651248,0.01737,589.68
565.56,617.31,565.56,589.68,19.43,591.6106711,0.01703,575.6
589.68,600,542.96,575.6,15.89,590.4246955,0.0172,589.55
575.6,589.55,534.28,589.55,34.51,590.3599032,0.01687,597.14
589.55,612.91,574.18,597.14,10.67,590.8621326,0.01635,608.97
597.14,608.98,586.25,608.97,2.8,592.2034561,0.01594,605.89
608.97,625,603.41,605.89,10,593.2172742,0.0159,595.93
605.89,627.05,594.12,595.93,8.41,593.4182169,0.01676,593.9
595.93,602.79,578.51,593.9,5.81,593.4539045,0.01665,590.59
593.9,598.5,581.09,590.59,0.7642,593.2417634,0.0165,596.24
590.59,602.33,584.75,596.24,8.34,593.463855,0.01628,584.42
596.24,596.24,584.42,584.42,2.64,592.7939398,0.01633,586.15
584.42,595.23,576.13,586.15,2.85,592.3017961,0.01651,564.42
586.15,586.15,557.43,564.42,29.23,590.2364779,0.01623,583.26
564.42,583.26,564.42,583.26,2.76,589.7197018,0.01563,597.69
583.26,600,575.35,597.69,21.78,590.3100942,0.01547,596.12
597.69,604.38,590.76,596.12,4.14,590.7404576,0.01537,589.76
596.12,602.3,589.76,589.76,0.9983,590.6678311,0.0149,637.07
589.76,645,587.72,637.07,18.67,594.1050288,0.01393,650
637.07,657.83,634.16,650,12.04,598.2453971,0.01307,645.77
650,658.87,638,645.77,25.77,601.765738,0.01261,647.55
645.77,655.08,638.89,647.55,6.04,605.1571648,0.01259,635.25
647.55,655,622.6,635.25,10.3,607.3862637,0.01161,628.99
635.25,635.25,618,628.99,3.74,608.9865405,0.01155,629.1
628.99,652.78,628.99,629.1,2.25,610.4764264,0.01127,625.99
629.1,638.97,614.74,625.99,6.47,611.62558,0.01224,617.04
625.99,626.87,614.74,617.04,1.44,612.0266481,0.01232,627.9
617.04,627.9,615.35,627.9,1.63,613.202452,0.01257,614.47
627.9,632.11,614.47,614.47,0.6427,613.2963444,0.01254,629.46
614.47,629.46,614.47,629.46,1.5,614.4936522,0.01246,632
629.46,639.34,629.46,632,0.6899,615.7904187,0.01365,626.5
632,653.49,625.29,626.5,1.05,616.5837211,0.01438,626.23
626.5,632.67,618.14,626.23,1.34,617.2982602,0.0142,620.03
626.23,626.23,620.03,620.03,0.18,617.5006113,0.01393,625.22
620.03,626.16,612.9,625.22,7.41,618.0724179,0.01353,624.98
625.22,630.01,610.35,624.98,0.9631,618.5840906,0.01421,626
624.98,629,615.17,626,12.29,619.1334173,0.01411,630
626,630,626,630,1.56,619.9383493,0.01411,619
630,630,619,619,0.5068,619.868842,0.01379,629.77
619,629.77,619,629.77,0.0006352,620.6022611,0.01392,618.69
629.77,629.77,618.69,618.69,8.44,620.4606121,0.0138,618.62
618.69,623.98,610,618.62,7.5,620.3242705,0.01376,605.64
618.62,623.43,593.86,605.64,17.72,619.2365467,0.01304,596.08
605.64,623.22,593.8,596.08,8.67,617.521247,0.01258,600
596.08,607.96,593.8,600,5.06,616.2233768,0.01281,600
600,600,600,600,0.1545,615.0216452,0.01319,591.9
600,600,574.58,591.9,4.09,613.3089308,0.01305,583.21
591.9,597.66,575.07,583.21,2.68,611.0793803,0.01314,566.75
583.21,588.98,566.75,566.75,11.67,607.7957225,0.01298,590.21
566.75,591.95,566.75,590.21,33.05,606.4930764,0.01301,596.4
590.21,602.36,584.77,596.4,3.05,605.7454411,0.01291,590.49
596.4,601.18,590.49,590.49,2.57,604.6154084,0.01294,578.86
590.49,594.8,578.86,578.86,1.79,602.7076004,0.01281,596.25
578.86,596.25,578.86,596.25,4.11,602.2292596,0.0127,579
596.25,598.03,579,579,9.04,600.5085737,0.01232,579
579,579,579,579,0,598.9153461,0.01234,580.58
579,593,577.24,580.58,16.81,597.5571723,0.01215,590
580.58,590,580.58,590,0.4273,596.9973817,0.01198,590
590,590,578.14,590,7.8,596.4790572,0.01188,583.24
590,595.36,583.24,583.24,1.66,595.4983863,0.01179,572.77
583.24,595.36,572.77,572.77,0.4779,593.8148021,0.01056,580
572.77,580,566.99,580,3.82,592.7914834,0.009931,535.08
580,580,531.64,535.08,4.35,588.5165587,0.009162,523.76
535.08,553.83,501,523.76,31.83,583.7197766,0.009946,530
523.76,530,501,530,22.87,579.7405339,0.01017,503.52
530,530,500,503.52,12.1,574.0945684,0.009691,500
503.52,539.99,500,500,2.65,568.6060819,0.008876,455
500,505,455,455,28.55,560.1908165,0.008198,500.5
455,500.5,455,500.5,77.76,555.7692746,0.009549,530
474.02,530,474.02,530,13.53,553.8604394,0.0107,505
