"open","high","low","close","volume","will14","ema12","next1"
808,812.63,801,812.19,12.87,-53.5125,813.8896718,825
812.19,835,803.41,825,6.47,-37.5,815.5989531,814.86
825,835,814.86,814.86,7.25,-50.175,815.485268,819.78
814.86,819.8,803.65,819.78,7.27,-36.92069306,816.145996,802.4
819.78,819.78,799.58,802.4,11.43,-57.84615385,814.0312274,802.69
802.4,815.9,802.4,802.69,10.42,-57.4,812.2864232,767.61
802.69,803.73,767.61,767.61,39.76,-100,805.4131273,723
767.61,775.21,666.35,723,63.49,-67.37690757,792.7341846,693.65
723,730,682.61,693.65,30.6,-84.27872157,777.4904639,696.49
693.65,756.1,680.01,696.49,36.77,-82.64324791,765.0288541,690.2
696.49,748,550,690.2,31.78,-50.80701754,753.5167227,672.6
690.2,720,660,672.6,32.13,-56.98245614,741.0679961,670.67
672.6,714.56,651.31,670.67,18.85,-57.65964912,730.2375352,623.95
670.67,680,595.63,623.95,44.68,-74.05263158,713.8856067,670.34
623.95,710,586.43,670.34,42.45,-57.7754386,707.1862826,656.28
670.34,682.78,646.88,656.28,11.81,-62.70877193,699.3545468,635.79
656.28,668.82,600,635.79,18.52,-68.20237213,689.5753858,638.1
635.79,679.06,593.68,638.1,39.7,-67.34376158,681.6560956,636.52
638.1,652.51,623,636.52,20.84,-67.46145167,674.7120809,630.16
636.52,640,602.91,630.16,13,-68.40736216,667.8579146,575.72
630.16,641.36,565.57,575.72,49.97,-88.57954798,653.6828508,572.27
575.72,597.05,547.72,572.27,28.37,-88.21863902,641.1577969,605.43
572.27,620.9,567.55,605.43,13.24,-72.30540359,635.6612127,616.88
605.43,650.28,600.91,616.88,21.05,-65.46834432,632.7717954,572
616.88,616.9,540.64,572,29.7,-82.51561106,623.4222884,522.84
572,572,450,522.84,60.12,-72.4674932,607.9480902,593.14
522.84,650,522.84,593.14,105.88,-44.94615385,605.6699225,596.49
593.14,629.9,580.5,596.49,45.84,-43.65769231,604.2576267,573.94
596.49,599,570,573.94,29.32,-46.75659421,599.5933764,575
573.94,605,550,575,8.04,-45.4291452,595.8097801,578
575,588.08,572.41,578,2.16,-44.11944469,593.0698139,669.75
578,700,578,669.75,67.58,-12.1,604.8667656,680.6
669.75,720,661.48,680.6,27.98,-14.59259259,616.5180324,680.99
680.6,690.17,660.01,680.99,5.23,-14.44814815,626.4367967,665.66
680.99,693,660.1,665.66,4.39,-20.12592593,632.4711357,641.48
665.66,680.46,628.73,641.48,13.85,-29.08148148,633.8571148,636.01
641.48,667.99,623,636.01,4.22,-31.10740741,634.1883279,641.57
636.01,658,629.05,641.57,1.82,-29.04814815,635.3239698,642.08
641.57,684.5,630,642.08,6.5,-28.85925926,636.363359,641.82
642.08,665.93,560,641.82,18.36,-39.65307365,637.2028423,651.08
641.82,660,550.28,651.08,7.9,-40.54117647,639.3377896,653.4
651.08,657.99,620,653.4,4.78,-39.17647059,641.5012066,631.24
653.4,654.91,550,631.24,24.79,-52.21176471,639.9225594,646
631.24,646,618.29,646,3.2,-43.52941176,640.8575503,651.95
646,652,639,651.95,7.62,-40.02941176,642.564081,637.73
651.95,651.95,616,637.73,1.91,-48.39411765,641.8203762,619.78
637.73,637.73,610.01,619.78,9.05,-51.2027972,638.4295491,620
619.78,633.66,612.22,620,4.86,-51.04895105,635.5942339,590
620,625.02,590,590,8.49,-70.26022305,628.5797364,590
590,615.23,580,590,16.27,-70.26022305,622.6443923,572.3
590,596,554.05,572.3,11.84,-83.42007435,614.8991012,574.22
572.3,596,566.36,574.22,1.31,-81.99256506,608.6407779,585.4
574.22,592.54,554.5,585.4,5.69,-69.46433192,605.0652736,579.02
585.4,591.15,579,579.02,5.73,-73.61818182,601.0583084,585.09
579.02,641.14,579,585.09,13.33,-67.50625058,598.6016456,502.78
585.09,599.27,502.78,502.78,34.78,-100,583.859854,516.48
502.78,553,500,516.48,44.09,-89.15789474,573.4937226,514.99
516.48,518,505,514.99,6.11,-90.13815789,564.4931499,467.1
514.99,514.99,436.07,467.1,33.23,-85.62627386,549.5095884,462.39
467.1,530,443.35,462.39,17.6,-87.16535817,536.1065748,490.73
462.39,503.23,462.39,490.73,17.55,-73.34568684,529.1255633,443.63
490.73,497.15,443.63,443.63,15.11,-96.31345394,515.9723997,458.6
443.63,463.7,426.45,458.6,15.54,-85.02491965,507.1458767,458.84
458.6,550,440,458.84,21.14,-84.91313056,499.7142033,467.85
458.84,467.85,447.57,467.85,0.9441,-80.71638176,494.8120182,461.82
467.85,469.44,450,461.82,5.12,-83.52508268,489.7363231,462.08
461.82,475.32,450,462.08,7.09,-83.40397783,485.4815042,454.39
462.08,465.82,454.38,454.39,3.32,-86.98588663,480.6981958,461.09
454.39,462.09,450,461.09,1.27,-79.95602361,477.6815503,383.08
461.09,461.09,383.08,383.08,17.11,-100,463.1274656,430
383.08,583.75,353.76,430,16.22,-66.85073264,458.0309325,448
430,450,429.01,448,10.71,-59.0243054,456.4877121,429.79
448,448,407.07,429.79,9.32,-66.94204096,452.3803718,459.38
429.79,480.07,411.34,459.38,42.64,-54.07626419,453.4572377,523.74
459.38,573.67,450.5,523.74,30.52,-26.0924388,464.2699703,523.52
523.74,550.8,490.56,523.52,51.73,-26.18809513,473.3853595,504.29
523.52,530.36,495.53,504.29,16.15,-34.54932823,478.1399196,485.56
504.29,515,477.19,485.56,31.51,-42.69316057,479.2814704,504.5
485.56,525.28,479.96,504.5,10.97,-34.45801991,483.1612442,504.73
504.49,510,500,504.73,1.54,-34.35801557,486.4795143,496.42
504.73,517.31,485,496.42,17.33,-37.97121614,488.0088198,489.72
496.42,510.49,484.62,489.72,7.49,-40.88438628,488.2720783,495.62
489.72,504.5,489,495.62,7.02,-38.31905735,489.4025278,501.95
495.62,501.95,490,501.95,3.58,-35.56676377,491.3329081,471.02
501.95,503.48,449,471.02,27.38,-61.61464586,488.2078453,463.7
471.02,476.18,456.75,463.7,3.39,-66.00840336,484.4374076,438.72
463.7,463.7,438.72,438.72,2.91,-83.13312388,477.4039603,446.18
438.72,455.09,429.09,446.18,6.12,-88.17955457,472.6002741,445.68
446.18,454.62,435.65,445.68,7.31,-86.36923835,468.4586935,448.34
445.68,452.82,441.23,448.34,9.06,-80.9914091,465.3635098,459.32
448.34,464.42,448,459.32,14.51,-68.5726167,464.4337391,455.16
459.32,459.32,446.49,455.16,7.08,-72.89739058,463.00701,441.04
455.16,455.16,432.43,441.04,8.5,-86.45431875,459.62747,442
441.04,445.4,431.17,442,1.77,-85.36613013,456.9155515,429.18
442,442,429.18,429.18,5.66,-99.88943489,452.6485436,431.87
