"open","high","low","close","volume","next1"
635.79,679.06,593.68,638.1,39.7,636.52
638.1,652.51,623,636.52,20.84,630.16
636.52,640,602.91,630.16,13,575.72
630.16,641.36,565.57,575.72,49.97,572.27
575.72,597.05,547.72,572.27,28.37,605.43
572.27,620.9,567.55,605.43,13.24,616.88
605.43,650.28,600.91,616.88,21.05,572
616.88,616.9,540.64,572,29.7,522.84
572,572,450,522.84,60.12,593.14
522.84,650,522.84,593.14,105.88,596.49
593.14,629.9,580.5,596.49,45.84,573.94
596.49,599,570,573.94,29.32,575
573.94,605,550,575,8.04,578
575,588.08,572.41,578,2.16,669.75
578,700,578,669.75,67.58,680.6
669.75,720,661.48,680.6,27.98,680.99
680.6,690.17,660.01,680.99,5.23,665.66
680.99,693,660.1,665.66,4.39,641.48
665.66,680.46,628.73,641.48,13.85,636.01
641.48,667.99,623,636.01,4.22,641.57
636.01,658,629.05,641.57,1.82,642.08
641.57,684.5,630,642.08,6.5,641.82
642.08,665.93,560,641.82,18.36,651.08
641.82,660,550.28,651.08,7.9,653.4
651.08,657.99,620,653.4,4.78,631.24
653.4,654.91,550,631.24,24.79,646
631.24,646,618.29,646,3.2,651.95
646,652,639,651.95,7.62,637.73
651.95,651.95,616,637.73,1.91,619.78
637.73,637.73,610.01,619.78,9.05,620
619.78,633.66,612.22,620,4.86,590
620,625.02,590,590,8.49,590
590,615.23,580,590,16.27,572.3
590,596,554.05,572.3,11.84,574.22
572.3,596,566.36,574.22,1.31,585.4
574.22,592.54,554.5,585.4,5.69,579.02
585.4,591.15,579,579.02,5.73,585.09
579.02,641.14,579,585.09,13.33,502.78
585.09,599.27,502.78,502.78,34.78,516.48
502.78,553,500,516.48,44.09,514.99
516.48,518,505,514.99,6.11,467.1
514.99,514.99,436.07,467.1,33.23,462.39
467.1,530,443.35,462.39,17.6,490.73
462.39,503.23,462.39,490.73,17.55,443.63
490.73,497.15,443.63,443.63,15.11,458.6
443.63,463.7,426.45,458.6,15.54,458.84
458.6,550,440,458.84,21.14,467.85
458.84,467.85,447.57,467.85,0.9441,461.82
467.85,469.44,450,461.82,5.12,462.08
461.82,475.32,450,462.08,7.09,454.39
462.08,465.82,454.38,454.39,3.32,461.09
454.39,462.09,450,461.09,1.27,383.08
461.09,461.09,383.08,383.08,17.11,430
383.08,583.75,353.76,430,16.22,448
430,450,429.01,448,10.71,429.79
448,448,407.07,429.79,9.32,459.38
429.79,480.07,411.34,459.38,42.64,523.74
459.38,573.67,450.5,523.74,30.52,523.52
523.74,550.8,490.56,523.52,51.73,504.29
523.52,530.36,495.53,504.29,16.15,485.56
504.29,515,477.19,485.56,31.51,504.5
485.56,525.28,479.96,504.5,10.97,504.73
504.49,510,500,504.73,1.54,496.42
504.73,517.31,485,496.42,17.33,489.72
496.42,510.49,484.62,489.72,7.49,495.62
489.72,504.5,489,495.62,7.02,501.95
495.62,501.95,490,501.95,3.58,471.02
501.95,503.48,449,471.02,27.38,463.7
471.02,476.18,456.75,463.7,3.39,438.72
463.7,463.7,438.72,438.72,2.91,446.18
438.72,455.09,429.09,446.18,6.12,445.68
446.18,454.62,435.65,445.68,7.31,448.34
445.68,452.82,441.23,448.34,9.06,459.32
448.34,464.42,448,459.32,14.51,455.16
459.32,459.32,446.49,455.16,7.08,441.04
455.16,455.16,432.43,441.04,8.5,442
441.04,445.4,431.17,442,1.77,429.18
442,442,429.18,429.18,5.66,431.87
429.18,439.69,422.19,431.87,5.75,441.89
431.87,452.74,431.61,441.89,20.36,448.26
441.89,452,441.81,448.26,5.79,450.63
448.26,459.22,441.81,450.63,4.04,454.99
450.63,458,446.1,454.99,5.53,441.5
454.99,454.99,432.88,441.5,11.53,440.82
441.5,445.22,432.21,440.82,7.19,440.78
440.82,444.76,436.45,440.78,4.51,445.52
440.78,445.52,440.78,445.52,0.8711,449.59
445.52,449.59,440.89,449.59,3.02,453.83
449.59,453.83,447.1,453.83,5.59,453.83
453.83,453.83,446.2,453.83,0.2061,445.56
453.83,453.83,445.56,445.56,2.58,445.56
445.56,445.56,445.56,445.56,0,493.43
445.56,498.84,445.56,493.43,25.28,494.77
493.43,497.67,490.85,494.77,4.24,530
494.77,530,494.77,530,32.85,521.47
530,548.05,515.31,521.47,14.82,530
521.47,530,515.21,530,2.62,574.05
530,589,530,574.05,15.83,583.2
574.05,589.11,563.68,583.2,10.95,570.92
583.2,594.64,538.84,570.92,26.92,575.83
570.92,589.16,565.22,575.83,4.52,570.49
575.83,576.26,564.9,570.49,2.18,616.08
570.49,628.61,566.15,616.08,18.38,628.13
616.08,628.13,603.87,628.13,15.4,627.54
628.13,673.37,621.79,627.54,37.05,665.58
627.54,672.64,621.79,665.58,10.32,671.43
665.58,677.91,652.26,671.43,16.68,650.48
671.43,671.43,525,650.48,59.16,657.01
650.48,669.75,650.45,657.01,15.16,653.4
657.01,660,653.4,653.4,5.27,659.8
653.4,659.8,636.68,659.8,4.75,646.54
659.8,659.8,646,646.54,0.888,643.44
646.54,656.44,636.5,643.44,4.65,646.89
643.44,657.72,643.44,646.89,7.13,617.99
646.89,649.93,617.99,617.99,19.6,565.56
617.99,637.06,552,565.56,75.97,589.68
565.56,617.31,565.56,589.68,19.43,575.6
589.68,600,542.96,575.6,15.89,589.55
575.6,589.55,534.28,589.55,34.51,597.14
589.55,612.91,574.18,597.14,10.67,608.97
597.14,608.98,586.25,608.97,2.8,605.89
608.97,625,603.41,605.89,10,595.93
605.89,627.05,594.12,595.93,8.41,593.9
595.93,602.79,578.51,593.9,5.81,590.59
593.9,598.5,581.09,590.59,0.7642,596.24
590.59,602.33,584.75,596.24,8.34,584.42
596.24,596.24,584.42,584.42,2.64,586.15
584.42,595.23,576.13,586.15,2.85,564.42
586.15,586.15,557.43,564.42,29.23,583.26
564.42,583.26,564.42,583.26,2.76,597.69
583.26,600,575.35,597.69,21.78,596.12
597.69,604.38,590.76,596.12,4.14,589.76
596.12,602.3,589.76,589.76,0.9983,637.07
589.76,645,587.72,637.07,18.67,650
637.07,657.83,634.16,650,12.04,645.77
650,658.87,638,645.77,25.77,647.55
645.77,655.08,638.89,647.55,6.04,635.25
647.55,655,622.6,635.25,10.3,628.99
635.25,635.25,618,628.99,3.74,629.1
628.99,652.78,628.99,629.1,2.25,625.99
629.1,638.97,614.74,625.99,6.47,617.04
625.99,626.87,614.74,617.04,1.44,627.9
617.04,627.9,615.35,627.9,1.63,614.47
627.9,632.11,614.47,614.47,0.6427,629.46
614.47,629.46,614.47,629.46,1.5,632
629.46,639.34,629.46,632,0.6899,626.5
632,653.49,625.29,626.5,1.05,626.23
626.5,632.67,618.14,626.23,1.34,620.03
626.23,626.23,620.03,620.03,0.18,625.22
620.03,626.16,612.9,625.22,7.41,624.98
625.22,630.01,610.35,624.98,0.9631,626
624.98,629,615.17,626,12.29,630
626,630,626,630,1.56,619
630,630,619,619,0.5068,629.77
619,629.77,619,629.77,0.0006352,618.69
629.77,629.77,618.69,618.69,8.44,618.62
618.69,623.98,610,618.62,7.5,605.64
618.62,623.43,593.86,605.64,17.72,596.08
605.64,623.22,593.8,596.08,8.67,600
596.08,607.96,593.8,600,5.06,600
600,600,600,600,0.1545,591.9
600,600,574.58,591.9,4.09,583.21
591.9,597.66,575.07,583.21,2.68,566.75
583.21,588.98,566.75,566.75,11.67,590.21
566.75,591.95,566.75,590.21,33.05,596.4
590.21,602.36,584.77,596.4,3.05,590.49
596.4,601.18,590.49,590.49,2.57,578.86
590.49,594.8,578.86,578.86,1.79,596.25
578.86,596.25,578.86,596.25,4.11,579
596.25,598.03,579,579,9.04,579
579,579,579,579,0,580.58
579,593,577.24,580.58,16.81,590
580.58,590,580.58,590,0.4273,590
590,590,578.14,590,7.8,583.24
590,595.36,583.24,583.24,1.66,572.77
583.24,595.36,572.77,572.77,0.4779,580
572.77,580,566.99,580,3.82,535.08
580,580,531.64,535.08,4.35,523.76
535.08,553.83,501,523.76,31.83,530
523.76,530,501,530,22.87,503.52
530,530,500,503.52,12.1,500
503.52,539.99,500,500,2.65,455
500,505,455,455,28.55,500.5
455,500.5,455,500.5,77.76,530
474.02,530,474.02,530,13.53,505
530,530,500.01,505,4.62,529.95
505,529.97,482.22,529.95,9.62,525
529.95,529.95,482.27,525,0.5639,524.88
525,525,524.88,524.88,0.7,516.12
524.88,524.88,490.1,516.12,26.86,516.12
516.12,516.12,516.12,516.12,0,524.85
516.12,524.85,516.12,524.85,1.31,495.08
524.85,524.85,495.08,495.08,0.02382,524.88
495.08,524.88,495.08,524.88,0.5178,524.27
524.88,524.88,495.26,524.27,0.4584,509.98
524.27,524.27,490.5,509.98,5.61,490.01
509.98,509.98,490.01,490.01,0.09953,524.77
490.01,524.77,490.01,524.77,3.811e-05,524.77
524.77,524.77,524.77,524.77,0,475.01
524.77,524.77,475,475.01,3.41,475.01
475.01,475.01,475.01,475.01,0,524.77
475.01,524.77,475.01,524.77,0.1769,480
524.77,524.77,480,480,1.24,488.77
480,524.77,465,488.77,41.14,475
488.77,488.77,465,475,0.5077,475
475,475,475,475,0.02,475
475,475,475,475,1.01,475
475,475,475,475,0,474.77
475,475,474.77,474.77,0.1492,490
474.77,490,474.77,490,0.212,465.01
490,490,465.01,465.01,3.08,465
465.01,528,465,465,2.76,445
465,465,445,445,5.14,503.18
445,503.18,400,503.18,18.12,375.94
503.18,503.18,375.94,375.94,1.5,385
375.94,466.67,375.94,385,0.1559,385.01
385,450,385,385.01,1.2,404.83
385.01,425,295,404.83,24.18,449.81
404.83,453,404.83,449.81,6.9,433.15
449.81,449.81,412.34,433.15,4.09,397
433.15,433.15,397,397,4.51,397
397,397,397,397,0,397
397,397,397,397,0,390
397,450,387.63,390,10.78,370.94
390,394,370.01,370.94,0.7155,380.02
370.94,393.22,370.12,380.02,6.68,390
380.02,390,380.02,390,2,370.11
390,390,370.1,370.11,0.275,355
370.11,389.98,355,355,20.27,322.11
355,369.63,322.11,322.11,38.11,330
322.11,330,273.33,330,18.72,349.85
330,349.85,300,349.85,53.41,335
349.85,349.85,315.06,335,0.12,359.98
335,359.98,335,359.98,8.1,370.19
359.98,400,335.16,370.19,30.22,355.59
370.19,378.99,355.59,355.59,7.78,357.18
355.59,379,355.59,357.18,0.4618,379
357.18,379,352.83,379,16.63,400
379,400,370.1,400,20.85,411.26
400,418.99,395.28,411.26,29.73,400.31
411.26,411.26,385.48,400.31,11.23,389.14
400.31,400.31,374.61,389.14,16.08,381.01
389.14,389.14,376.73,381.01,0.05216,395.79
381.01,395.79,371,395.79,0.9598,395.79
395.79,395.79,395.79,395.79,0,391.24
395.79,395.79,391.24,391.24,0.05,391.58
391.24,391.58,371,391.58,9.92,388.71
391.58,393.49,371.38,388.71,2.66,368.64
388.71,388.71,365,368.64,11.95,373.35
368.64,373.69,355,373.35,7.6,359.51
373.35,373.35,355,359.51,7.81,362.5
359.51,384.72,359.51,362.5,6.12,364.3
362.5,368.15,362.5,364.3,0.04324,365.13
364.3,365.13,352.01,365.13,0.5898,335.07
365.13,365.13,335.01,335.07,8.87,346.02
335.07,350,335,346.02,7.56,347.95
346.02,347.95,344.29,347.95,0.03559,320
347.95,347.95,320,320,5.66,323.94
320,325.19,320,323.94,0.1154,325
323.94,325.19,323.94,325,4.97,325
325,330,325,325,16.87,328.2
325,348.2,325,328.2,9.73,348
328.2,349.17,328.2,348,0.04009,347.08
348,348,333,347.08,6.6,350
347.08,350,330.16,350,4.81,350
350,350,338.66,350,19.36,355
350,370,350,355,3.57,371.7
355,372.63,355,371.7,5.42,423.48
371.7,430.36,371.7,423.48,219.46,415
423.48,450,380,415,65.88,395
415,417.77,395,395,23.16,379.99
395,395,378.97,379.99,10.68,380
379.99,395,379.56,380,1.56,400
380,414.26,376,400,25.27,375.02
