"open","high","low","close","volume","will5","ema12","ema26","next1"
642.08,665.93,560,641.82,18.36,-34.2811245,637.2028423,645.1006479,651.08
641.82,660,550.28,651.08,7.9,-24.89941886,639.3377896,645.5435629,653.4
651.08,657.99,620,653.4,4.78,-23.17091343,641.5012066,646.1255212,631.24
653.4,654.91,550,631.24,24.79,-39.59851301,639.9225594,645.02289,646
631.24,646,618.29,646,3.2,-17.19140861,640.8575503,645.0952685,651.95
646,652,639,651.95,7.62,-7.318181818,642.564081,645.6030264,637.73
651.95,651.95,616,637.73,1.91,-18.76099639,641.8203762,645.0198392,619.78
637.73,637.73,610.01,619.78,9.05,-33.48584501,638.4295491,643.1502215,620
619.78,633.66,612.22,620,4.86,-76.2086211,635.5942339,641.4353903,590
620,625.02,590,590,8.49,-100,628.5797364,637.6253614,590
590,615.23,580,590,16.27,-86.10145935,622.6443923,634.0975568,572.3
590,596,554.05,572.3,11.84,-78.19072658,614.8991012,629.51996,574.22
572.3,596,566.36,574.22,1.31,-74.66398694,608.6407779,625.4236667,585.4
574.22,592.54,554.5,585.4,5.69,-55.82640552,605.0652736,622.4589506,579.02
585.4,591.15,579,579.02,5.73,-59.1860085,601.0583084,619.2412506,585.09
579.02,641.14,579,585.09,13.33,-64.35870938,598.6016456,616.7115283,502.78
585.09,599.27,502.78,502.78,34.78,-100,583.859854,608.2721559,516.48
502.78,553,500,516.48,44.09,-88.32365028,573.4937226,601.4727369,514.99
516.48,518,505,514.99,6.11,-89.37933966,564.4931499,595.0666083,467.1
514.99,514.99,436.07,467.1,33.23,-84.86858146,549.5095884,585.5876002,462.39
467.1,530,443.35,462.39,17.6,-83.87254902,536.1065748,576.4618521,490.73
462.39,503.23,462.39,490.73,17.55,-53.25408364,529.1255633,570.1113445,443.63
490.73,497.15,443.63,443.63,15.11,-91.95145321,515.9723997,560.742356,458.6
443.63,463.7,426.45,458.6,15.54,-68.95219701,507.1458767,553.1762556,458.84
458.6,550,440,458.84,21.14,-73.78389316,499.7142033,546.1883848,467.85
458.84,467.85,447.57,467.85,0.9441,-66.49129907,494.8120182,540.3855415,461.82
467.85,469.44,450,461.82,5.12,-71.3719142,489.7363231,534.5658717,462.08
461.82,475.32,450,462.08,7.09,-71.16147309,485.4815042,529.1965479,454.39
462.08,465.82,454.38,454.39,3.32,-86.91818182,480.6981958,523.6553221,461.09
454.39,462.09,450,461.09,1.27,-51.27927928,477.6815503,519.0208538,383.08
461.09,461.09,383.08,383.08,17.11,-100,463.1274656,508.951161,430
383.08,583.75,353.76,430,16.22,-66.85073264,458.0309325,503.1029268,448
430,450,429.01,448,10.71,-59.0243054,456.4877121,499.0212285,429.79
448,448,407.07,429.79,9.32,-66.94204096,452.3803718,493.8929894,459.38
429.79,480.07,411.34,459.38,42.64,-54.07626419,453.4572377,491.3364716,523.74
459.38,573.67,450.5,523.74,30.52,-26.0924388,464.2699703,493.736733,523.52
523.74,550.8,490.56,523.52,51.73,-30.10204082,473.3853595,495.9429009,504.29
523.52,530.36,495.53,504.29,16.15,-41.64465786,478.1399196,496.5612046,485.56
504.29,515,477.19,485.56,31.51,-54.27832194,479.2814704,495.7463005,504.5
485.56,525.28,479.96,504.5,10.97,-56.15815539,483.1612442,496.3947227,504.73
504.49,510,500,504.73,1.54,-62.58660508,486.4795143,497.0121507,496.42
504.73,517.31,485,496.42,17.33,-63.83298853,488.0088198,496.9682876,489.72
496.42,510.49,484.62,489.72,7.49,-73.94468705,488.2720783,496.4313774,495.62
489.72,504.5,489,495.62,7.02,-65.44571933,489.4025278,496.3712754,501.95
495.62,501.95,490,501.95,3.58,-46.98684613,491.3329081,496.7845143,471.02
501.95,503.48,449,471.02,27.38,-67.76460255,488.2078453,494.8760317,463.7
471.02,476.18,456.75,463.7,3.39,-76.09367377,484.4374076,492.566696,438.72
463.7,463.7,438.72,438.72,2.91,-100,477.4039603,488.5780519,446.18
438.72,455.09,429.09,446.18,6.12,-77.02648205,472.6002741,485.4374555,445.68
446.18,454.62,435.65,445.68,7.31,-77.69861541,468.4586935,482.4924588,448.34
445.68,452.82,441.23,448.34,9.06,-59.12083245,465.3635098,479.962647,459.32
448.34,464.42,448,459.32,14.51,-14.43532409,464.4337391,478.433562,455.16
459.32,459.32,446.49,455.16,7.08,-26.21001981,463.00701,476.7095945,441.04
455.16,455.16,432.43,441.04,8.5,-73.08533917,459.62747,474.0674023,442
441.04,445.4,431.17,442,1.77,-67.42857143,456.9155515,471.6920392,429.18
442,442,429.18,429.18,5.66,-100,452.6485436,468.5429992,431.87
429.18,439.69,422.19,431.87,5.75,-73.92943711,449.4518446,465.8264808,441.89
431.87,452.74,431.61,441.89,20.36,-40.24871095,448.2884839,464.0534081,448.26
441.89,452,441.81,448.26,5.79,-14.66448445,448.2841018,462.883526,450.63
448.26,459.22,441.81,450.63,4.04,-23.19740751,448.6450092,461.9758574,454.99
450.63,458,446.1,454.99,5.53,-11.4231704,449.6211616,461.4583865,441.5
454.99,454.99,432.88,441.5,11.53,-64.17964506,448.3717521,459.9799875,440.82
441.5,445.22,432.21,440.82,7.19,-68.12291744,447.2099441,458.5607292,440.78
440.82,444.76,436.45,440.78,4.51,-68.27101074,446.2207219,457.2436381,445.52
440.78,445.52,440.78,445.52,0.8711,-48.39084917,446.1129186,456.3752205,449.59
445.52,449.59,440.89,449.59,3.02,-23.70500439,446.6478542,455.8726116,453.83
449.59,453.83,447.1,453.83,5.59,0,447.7527997,455.721307,453.83
453.83,453.83,446.2,453.83,0.2061,0,448.6877536,455.5812102,445.56
453.83,453.83,445.56,445.56,2.58,-63.37164751,448.2065607,454.8388983,445.56
445.56,445.56,445.56,445.56,0,-63.91035549,447.7993975,454.1515725,493.43
445.56,498.84,445.56,493.43,25.28,-10.1539039,454.8194902,457.0610857,494.77
493.43,497.67,490.85,494.77,4.24,-7.638888889,460.9657225,459.8543386,530
494.77,530,494.77,530,32.85,0,471.5863806,465.0503135,521.47
530,548.05,515.31,521.47,14.82,-25.93423749,479.2607836,469.2295495,530
521.47,530,515.21,530,2.62,-17.61147429,487.0668169,473.7310644,574.05
530,589,530,574.05,15.83,-15.23178808,500.448845,481.1620967,583.2
574.05,589.11,563.68,583.2,10.95,-6.264574942,513.179792,488.7204599,570.92
583.2,594.64,538.84,570.92,26.92,-29.86277225,522.0629009,494.8093147,575.83
570.92,589.16,565.22,575.83,4.52,-23.68122875,530.3347623,500.8108469,570.49
575.83,576.26,564.9,570.49,2.18,-37.36076733,536.5124912,505.9722657,616.08
570.49,628.61,566.15,616.08,18.38,-13.95789239,548.7536464,514.1283941,628.13
616.08,628.13,603.87,628.13,15.4,-0.534699788,560.9653931,522.5729575,627.54
628.13,673.37,621.79,627.54,37.05,-42.25131373,571.2076403,530.348294,665.58
627.54,672.64,621.79,665.58,10.32,-7.181709228,585.7264649,540.3654574,671.43
665.58,677.91,652.26,671.43,16.68,-5.798138869,598.9116241,550.0739421,650.48
671.43,671.43,525,650.48,59.16,-17.93865673,606.8452204,557.5114278,657.01
650.48,669.75,650.45,657.01,15.16,-13.66817082,614.5628788,564.8816924,653.4
657.01,660,653.4,653.4,5.27,-16.02903669,620.5378205,571.4386041,659.8
653.4,659.8,636.68,659.8,4.75,-11.84356811,626.5781558,577.9838927,646.54
659.8,659.8,646,646.54,0.888,-16.99788295,629.6492088,583.0621229,643.44
646.54,656.44,636.5,643.44,4.65,-79.12781955,631.770869,587.5345582,646.89
643.44,657.72,643.44,646.89,7.13,-55.78723404,634.0968891,591.9312576,617.99
646.89,649.93,617.99,617.99,19.6,-100,631.6189062,593.8615348,565.56
617.99,637.06,552,565.56,75.97,-87.42115028,621.4559975,591.7651248,589.68
565.56,617.31,565.56,589.68,19.43,-64.35868331,616.5673825,591.6106711,575.6
589.68,600,542.96,575.6,15.89,-71.55803416,610.2647083,590.4246955,589.55
575.6,589.55,534.28,589.55,34.51,-52.20925205,607.0778301,590.3599032,597.14
589.55,612.91,574.18,597.14,10.67,-38.84024129,605.5489332,590.8621326,608.97
597.14,608.98,586.25,608.97,2.8,-10.04456221,606.0752511,592.2034561,605.89
608.97,625,603.41,605.89,10,-21.06481481,606.046751,593.2172742,595.93
605.89,627.05,594.12,595.93,8.41,-33.54532715,604.4903277,593.4182169,593.9
595.93,602.79,578.51,593.9,5.81,-62.70096463,602.8610465,593.4539045,590.59
593.9,598.5,581.09,590.59,0.7642,-75.11330861,600.9731932,593.2417634,596.24
590.59,602.33,584.75,596.24,8.34,-63.47342398,600.2450097,593.463855,584.42
596.24,596.24,584.42,584.42,2.64,-87.82447466,597.8103928,592.7939398,586.15
584.42,595.23,576.13,586.15,2.85,-62.4156039,596.0164862,592.3017961,564.42
586.15,586.15,557.43,564.42,29.23,-84.43207127,591.1554883,590.2364779,583.26
564.42,583.26,564.42,583.26,2.76,-42.47216036,589.9407978,589.7197018,597.69
583.26,600,575.35,597.69,21.78,-5.426356589,591.1329828,590.3100942,596.12
597.69,604.38,590.76,596.12,4.14,-17.59318424,591.9002162,590.7404576,589.76
596.12,602.3,589.76,589.76,0.9983,-31.13951012,591.5709522,590.6678311,637.07
589.76,645,587.72,637.07,18.67,-9.841151651,598.5708057,594.1050288,650
637.07,657.83,634.16,650,12.04,-9.493210475,606.4829894,598.2453971,645.77
650,658.87,638,645.77,25.77,-18.41180604,612.5271449,601.765738,647.55
645.77,655.08,638.89,647.55,6.04,-15.91004919,617.9152764,605.1571648,635.25
647.55,655,622.6,635.25,10.3,-33.19747013,620.582157,607.3862637,628.99
635.25,635.25,618,628.99,3.74,-73.10986053,621.8756713,608.9865405,629.1
628.99,652.78,628.99,629.1,2.25,-72.84071446,622.9871065,610.4764264,625.99
629.1,638.97,614.74,625.99,6.47,-72.1120476,623.4490901,611.62558,617.04
625.99,626.87,614.74,617.04,1.44,-94.28713363,622.4630762,612.0266481,627.9
617.04,627.9,615.35,627.9,1.63,-65.40483701,623.2995261,613.202452,614.47
627.9,632.11,614.47,614.47,0.6427,-100,621.9411374,613.2963444,629.46
614.47,629.46,614.47,629.46,1.5,-38.81632653,623.0978855,614.4936522,632
629.46,639.34,629.46,632,0.6899,-29.51347004,624.4674416,615.7904187,626.5
632,653.49,625.29,626.5,1.05,-69.16965659,624.7801429,616.5837211,626.23
626.5,632.67,618.14,626.23,1.34,-69.86160943,625.0031978,617.2982602,620.03
626.23,626.23,620.03,620.03,0.18,-85.75089698,624.2380905,617.5006113,625.22
620.03,626.16,612.9,625.22,7.41,-69.64769648,624.3891535,618.0724179,624.98
625.22,630.01,610.35,624.98,0.9631,-66.08715809,624.4800529,618.5840906,626
624.98,629,615.17,626,12.29,-29.88351254,624.7138909,619.1334173,630
626,630,626,630,1.56,-0.0508647,625.5271385,619.9383493,619
