open,high,low,close,volume,nextvolume
575,588.08,572.41,578,2.16,67.58
578,700,578,669.75,67.58,27.98
669.75,720,661.48,680.6,27.98,5.23
680.6,690.17,660.01,680.99,5.23,4.39
680.99,693,660.1,665.66,4.39,13.85
665.66,680.46,628.73,641.48,13.85,4.22
641.48,667.99,623,636.01,4.22,1.82
636.01,658,629.05,641.57,1.82,6.5
641.57,684.5,630,642.08,6.5,18.36
642.08,665.93,560,641.82,18.36,7.9
641.82,660,550.28,651.08,7.9,4.78
651.08,657.99,620,653.4,4.78,24.79
653.4,654.91,550,631.24,24.79,3.2
631.24,646,618.29,646,3.2,7.62
646,652,639,651.95,7.62,1.91
651.95,651.95,616,637.73,1.91,9.05
637.73,637.73,610.01,619.78,9.05,4.86
619.78,633.66,612.22,620,4.86,8.49
620,625.02,590,590,8.49,16.27
590,615.23,580,590,16.27,11.84
590,596,554.05,572.3,11.84,1.31
572.3,596,566.36,574.22,1.31,5.69
574.22,592.54,554.5,585.4,5.69,5.73
585.4,591.15,579,579.02,5.73,13.33
579.02,641.14,579,585.09,13.33,34.78
585.09,599.27,502.78,502.78,34.78,44.09
502.78,553,500,516.48,44.09,6.11
516.48,518,505,514.99,6.11,33.23
514.99,514.99,436.07,467.1,33.23,17.6
467.1,530,443.35,462.39,17.6,17.55
462.39,503.23,462.39,490.73,17.55,15.11
490.73,497.15,443.63,443.63,15.11,15.54
443.63,463.7,426.45,458.6,15.54,21.14
458.6,550,440,458.84,21.14,0.9441
458.84,467.85,447.57,467.85,0.9441,5.12
467.85,469.44,450,461.82,5.12,7.09
461.82,475.32,450,462.08,7.09,3.32
462.08,465.82,454.38,454.39,3.32,1.27
454.39,462.09,450,461.09,1.27,17.11
461.09,461.09,383.08,383.08,17.11,16.22
383.08,583.75,353.76,430,16.22,10.71
430,450,429.01,448,10.71,9.32
448,448,407.07,429.79,9.32,42.64
429.79,480.07,411.34,459.38,42.64,30.52
459.38,573.67,450.5,523.74,30.52,51.73
523.74,550.8,490.56,523.52,51.73,16.15
523.52,530.36,495.53,504.29,16.15,31.51
504.29,515,477.19,485.56,31.51,10.97
485.56,525.28,479.96,504.5,10.97,1.54
504.49,510,500,504.73,1.54,17.33
504.73,517.31,485,496.42,17.33,7.49
496.42,510.49,484.62,489.72,7.49,7.02
489.72,504.5,489,495.62,7.02,3.58
495.62,501.95,490,501.95,3.58,27.38
501.95,503.48,449,471.02,27.38,3.39
471.02,476.18,456.75,463.7,3.39,2.91
463.7,463.7,438.72,438.72,2.91,6.12
438.72,455.09,429.09,446.18,6.12,7.31
446.18,454.62,435.65,445.68,7.31,9.06
445.68,452.82,441.23,448.34,9.06,14.51
448.34,464.42,448,459.32,14.51,7.08
459.32,459.32,446.49,455.16,7.08,8.5
455.16,455.16,432.43,441.04,8.5,1.77
441.04,445.4,431.17,442,1.77,5.66
442,442,429.18,429.18,5.66,5.75
429.18,439.69,422.19,431.87,5.75,20.36
431.87,452.74,431.61,441.89,20.36,5.79
441.89,452,441.81,448.26,5.79,4.04
448.26,459.22,441.81,450.63,4.04,5.53
450.63,458,446.1,454.99,5.53,11.53
454.99,454.99,432.88,441.5,11.53,7.19
441.5,445.22,432.21,440.82,7.19,4.51
440.82,444.76,436.45,440.78,4.51,0.8711
440.78,445.52,440.78,445.52,0.8711,3.02
445.52,449.59,440.89,449.59,3.02,5.59
449.59,453.83,447.1,453.83,5.59,0.2061
453.83,453.83,446.2,453.83,0.2061,2.58
453.83,453.83,445.56,445.56,2.58,0
445.56,445.56,445.56,445.56,0,25.28
445.56,498.84,445.56,493.43,25.28,4.24
493.43,497.67,490.85,494.77,4.24,32.85
494.77,530,494.77,530,32.85,14.82
530,548.05,515.31,521.47,14.82,2.62
521.47,530,515.21,530,2.62,15.83
530,589,530,574.05,15.83,10.95
574.05,589.11,563.68,583.2,10.95,26.92
583.2,594.64,538.84,570.92,26.92,4.52
570.92,589.16,565.22,575.83,4.52,2.18
575.83,576.26,564.9,570.49,2.18,18.38
570.49,628.61,566.15,616.08,18.38,15.4
616.08,628.13,603.87,628.13,15.4,37.05
628.13,673.37,621.79,627.54,37.05,10.32
627.54,672.64,621.79,665.58,10.32,16.68
665.58,677.91,652.26,671.43,16.68,59.16
671.43,671.43,525,650.48,59.16,15.16
650.48,669.75,650.45,657.01,15.16,5.27
657.01,660,653.4,653.4,5.27,4.75
653.4,659.8,636.68,659.8,4.75,0.888
659.8,659.8,646,646.54,0.888,4.65
646.54,656.44,636.5,643.44,4.65,7.13
643.44,657.72,643.44,646.89,7.13,19.6
646.89,649.93,617.99,617.99,19.6,75.97
617.99,637.06,552,565.56,75.97,19.43
565.56,617.31,565.56,589.68,19.43,15.89
589.68,600,542.96,575.6,15.89,34.51
575.6,589.55,534.28,589.55,34.51,10.67
589.55,612.91,574.18,597.14,10.67,2.8
597.14,608.98,586.25,608.97,2.8,10
608.97,625,603.41,605.89,10,8.41
605.89,627.05,594.12,595.93,8.41,5.81
