"open","high","low","close","volume","ema26","cny","next1"
665.66,680.46,628.73,641.48,13.85,646.7454241,6.127394,636.01
641.48,667.99,623,636.01,4.22,645.9502075,6.126831,641.57
636.01,658,629.05,641.57,1.82,645.6257477,6.126394,642.08
641.57,684.5,630,642.08,6.5,645.3630997,6.136714,641.82
642.08,665.93,560,641.82,18.36,645.1006479,6.139656,651.08
641.82,660,550.28,651.08,7.9,645.5435629,6.144531,653.4
651.08,657.99,620,653.4,4.78,646.1255212,6.137723,631.24
653.4,654.91,550,631.24,24.79,645.02289,6.146784,646
631.24,646,618.29,646,3.2,645.0952685,6.148358,651.95
646,652,639,651.95,7.62,645.6030264,6.149422,637.73
651.95,651.95,616,637.73,1.91,645.0198392,6.172312,619.78
637.73,637.73,610.01,619.78,9.05,643.1502215,6.183765,620
619.78,633.66,612.22,620,4.86,641.4353903,6.185053,590
620,625.02,590,590,8.49,637.6253614,6.212434,590
590,615.23,580,590,16.27,634.0975568,6.213566,572.3
590,596,554.05,572.3,11.84,629.51996,6.212659,574.22
572.3,596,566.36,574.22,1.31,625.4236667,6.211496,585.4
574.22,592.54,554.5,585.4,5.69,622.4589506,6.187136,579.02
585.4,591.15,579,579.02,5.73,619.2412506,6.191181,585.09
579.02,641.14,579,585.09,13.33,616.7115283,6.196599,502.78
585.09,599.27,502.78,502.78,34.78,608.2721559,6.201705,516.48
502.78,553,500,516.48,44.09,601.4727369,6.203565,514.99
516.48,518,505,514.99,6.11,595.0666083,6.204271,467.1
514.99,514.99,436.07,467.1,33.23,585.5876002,6.208618,462.39
467.1,530,443.35,462.39,17.6,576.4618521,6.202542,490.73
462.39,503.23,462.39,490.73,17.55,570.1113445,6.206462,443.63
490.73,497.15,443.63,443.63,15.11,560.742356,6.199854,458.6
443.63,463.7,426.45,458.6,15.54,553.1762556,6.198914,458.84
458.6,550,440,458.84,21.14,546.1883848,6.201888,467.85
458.84,467.85,447.57,467.85,0.9441,540.3855415,6.202876,461.82
467.85,469.44,450,461.82,5.12,534.5658717,6.203962,462.08
461.82,475.32,450,462.08,7.09,529.1965479,6.204714,454.39
462.08,465.82,454.38,454.39,3.32,523.6553221,6.205134,461.09
454.39,462.09,450,461.09,1.27,519.0208538,6.192521,383.08
461.09,461.09,383.08,383.08,17.11,508.951161,6.193762,430
383.08,583.75,353.76,430,16.22,503.1029268,6.203268,448
430,450,429.01,448,10.71,499.0212285,6.202182,429.79
448,448,407.07,429.79,9.32,493.8929894,6.202763,459.38
429.79,480.07,411.34,459.38,42.64,491.3364716,6.202542,523.74
459.38,573.67,450.5,523.74,30.52,493.736733,6.210022,523.52
523.74,550.8,490.56,523.52,51.73,495.9429009,6.212222,504.29
523.52,530.36,495.53,504.29,16.15,496.5612046,6.212684,485.56
504.29,515,477.19,485.56,31.51,495.7463005,6.210182,504.5
485.56,525.28,479.96,504.5,10.97,496.3947227,6.218311,504.73
504.49,510,500,504.73,1.54,497.0121507,6.218675,496.42
504.73,517.31,485,496.42,17.33,496.9682876,6.212412,489.72
496.42,510.49,484.62,489.72,7.49,496.4313774,6.214152,495.62
489.72,504.5,489,495.62,7.02,496.3712754,6.225644,501.95
495.62,501.95,490,501.95,3.58,496.7845143,6.226209,471.02
501.95,503.48,449,471.02,27.38,494.8760317,6.235011,463.7
471.02,476.18,456.75,463.7,3.39,492.566696,6.237934,438.72
463.7,463.7,438.72,438.72,2.91,488.5780519,6.237486,446.18
438.72,455.09,429.09,446.18,6.12,485.4374555,6.237024,445.68
446.18,454.62,435.65,445.68,7.31,482.4924588,6.236624,448.34
445.68,452.82,441.23,448.34,9.06,479.962647,6.239637,459.32
