"open","high","low","close","volume","will14","next1"
739.73,759.11,737.15,753.99,10.13,-6.713237035,799.04
753.99,817.56,750,799.04,18.64,-8.712834023,808.52
799.04,819.9,771.18,808.52,76.87,-5.295486273,827.65
808.52,840,783.02,827.65,33.23,-5.255319149,913.93
827.65,980,827.41,913.93,54.92,-19.07993531,936.27
898.73,1019,886.44,936.27,75.02,-21.94429708,837.02
936.27,945,810,837.02,49.39,-48.27055703,824.98
837.02,899.84,788,824.98,19.31,-56.56559767,850.29
824.98,870,807.42,850.29,8,-55.34197146,857.33
850.29,857.34,817,857.33,8.19,-53.18092105,899.84
857.33,918.05,857.17,899.84,18.75,-39.19736842,860
899.84,900.94,833,860,25.43,-55.01730104,850
860,860,815,850,25.81,-58.47750865,831
850,877.29,805,831,31.72,-66.70214653,850
831,864,828,850,6.71,-62.82527881,826.97
850,865,824,826.97,27.71,-77.48769268,804.35
826.97,835.06,788,804.35,26.35,-90.9610984,819.51
804.35,844.14,804,819.51,18.78,-86.35930736,835
819.51,848.9,819.51,835,11.94,-79.65367965,843.77
835,855,830.1,843.77,4.45,-64.47770701,829.01
843.77,845.99,820.1,829.01,6.9,-68.46597463,830.89
829.01,834.53,821,830.89,1.71,-67.02037678,830.89
830.89,830.89,821,830.89,11.58,-67.02037678,794.93
830.89,836.35,783,794.93,24.52,-91.16623473,812.02
794.93,830,794.93,812.02,9.93,-75.39426827,826.72
812.02,840,812.02,826.72,6.57,-53.63241065,790
826.72,840,790,790,23.97,-92.57609503,815.99
790,830,775,815.99,27.48,-54.45555556,795
815.99,826.23,795,795,18.92,-77.77777778,808
795,815.23,787.01,808,27.02,-58.75,812.19
808,812.63,801,812.19,12.87,-53.5125,825
812.19,835,803.41,825,6.47,-37.5,814.86
825,835,814.86,814.86,7.25,-50.175,819.78
814.86,819.8,803.65,819.78,7.27,-36.92069306,802.4
819.78,819.78,799.58,802.4,11.43,-57.84615385,802.69
802.4,815.9,802.4,802.69,10.42,-57.4,767.61
802.69,803.73,767.61,767.61,39.76,-100,723
767.61,775.21,666.35,723,63.49,-67.37690757,693.65
723,730,682.61,693.65,30.6,-84.27872157,696.49
693.65,756.1,680.01,696.49,36.77,-82.64324791,690.2
696.49,748,550,690.2,31.78,-50.80701754,672.6
690.2,720,660,672.6,32.13,-56.98245614,670.67
672.6,714.56,651.31,670.67,18.85,-57.65964912,623.95
670.67,680,595.63,623.95,44.68,-74.05263158,670.34
623.95,710,586.43,670.34,42.45,-57.7754386,656.28
670.34,682.78,646.88,656.28,11.81,-62.70877193,635.79
656.28,668.82,600,635.79,18.52,-68.20237213,638.1
635.79,679.06,593.68,638.1,39.7,-67.34376158,636.52
638.1,652.51,623,636.52,20.84,-67.46145167,630.16
636.52,640,602.91,630.16,13,-68.40736216,575.72
630.16,641.36,565.57,575.72,49.97,-88.57954798,572.27
575.72,597.05,547.72,572.27,28.37,-88.21863902,605.43
572.27,620.9,567.55,605.43,13.24,-72.30540359,616.88
605.43,650.28,600.91,616.88,21.05,-65.46834432,572
616.88,616.9,540.64,572,29.7,-82.51561106,522.84
572,572,450,522.84,60.12,-72.4674932,593.14
522.84,650,522.84,593.14,105.88,-44.94615385,596.49
593.14,629.9,580.5,596.49,45.84,-43.65769231,573.94
596.49,599,570,573.94,29.32,-46.75659421,575
573.94,605,550,575,8.04,-45.4291452,578
575,588.08,572.41,578,2.16,-44.11944469,669.75
578,700,578,669.75,67.58,-12.1,680.6
669.75,720,661.48,680.6,27.98,-14.59259259,680.99
680.6,690.17,660.01,680.99,5.23,-14.44814815,665.66
680.99,693,660.1,665.66,4.39,-20.12592593,641.48
665.66,680.46,628.73,641.48,13.85,-29.08148148,636.01
641.48,667.99,623,636.01,4.22,-31.10740741,641.57
636.01,658,629.05,641.57,1.82,-29.04814815,642.08
641.57,684.5,630,642.08,6.5,-28.85925926,641.82
642.08,665.93,560,641.82,18.36,-39.65307365,651.08
641.82,660,550.28,651.08,7.9,-40.54117647,653.4
651.08,657.99,620,653.4,4.78,-39.17647059,631.24
653.4,654.91,550,631.24,24.79,-52.21176471,646
631.24,646,618.29,646,3.2,-43.52941176,651.95
646,652,639,651.95,7.62,-40.02941176,637.73
651.95,651.95,616,637.73,1.91,-48.39411765,619.78
637.73,637.73,610.01,619.78,9.05,-51.2027972,620
619.78,633.66,612.22,620,4.86,-51.04895105,590
620,625.02,590,590,8.49,-70.26022305,590
590,615.23,580,590,16.27,-70.26022305,572.3
590,596,554.05,572.3,11.84,-83.42007435,574.22
572.3,596,566.36,574.22,1.31,-81.99256506,585.4
