close,volume,macd,rsi,obv,atr,mom,usd_close,gold_close,sma_plus_3
4219.29,3.93,31.58,65.89864937,34,35.03846197,1.012733304,9198,1.6534,4199.846667
4224,4.12,33.05,66.54732639,38.12,34.22357183,1.014477438,9190,1.6342,4185.536667
4216.68,3.82,33.24,64.49403154,34.3,34.06903099,1.008444601,9190,1.6447,4156.33
4158.86,3.07,28.39,51.08577325,31.23,37.78981449,1.000810975,9195,1.6386,4147.92
4181.07,2.61,26.05,54.95935394,33.84,36.83268488,1.002570528,9195,1.604,4125.61
4129.06,2.81,19.76,45.81052228,31.03,38.62392167,0.991694767,9230,1.5937,4100.28
4133.63,3.05,14.98,46.65088212,34.08,37.77721298,0.988833364,9180,1.5951,4070.95
4114.14,2.39,9.5,43.54910971,31.69,37.91455491,0.988030682,9190,1.5836,4026.403333
4053.07,2.51,0.23,35.5687955,29.18,40.65351528,0.969464663,9235,1.5606,3988.75
4045.64,3.08,-7.62,34.73482366,26.1,42.8175499,0.964170468,9240,1.5568,3980.57
3980.5,3.1,-18.89,28.43914697,23,48.27701062,0.94340517,9242,1.5362,3980.93
3940.11,2.76,-30.72,25.36879642,20.24,48.46865272,0.932791193,9250,1.5884,3995.85
4021.1,3.39,-33.18,39.47864281,23.63,51.0266061,0.953617538,9227.5,1.5763,3956.32
3981.58,2.32,-37.88,35.91086405,21.31,51.01041995,0.957372934,9260,1.5481,3935.48
3984.87,2.43,-40.87,36.42594944,23.74,49.57681852,0.953074213,9265,1.5573,3913.163333
3902.51,2.71,-49.32,29.93904034,21.03,52.08204577,0.945132791,9287.5,1.5688,3889.933333
3919.06,1.7,-54.06,32.53888149,22.73,50.59475679,0.948091629,9395,1.5486,3850.17
3917.92,2.06,-57.24,32.4495569,20.67,48.82298845,0.95230595,9435,1.5634,3762.39
3832.82,3.76,-65.87,26.58301644,16.91,53.01634641,0.945658476,9400,1.5626,3724.076667
3799.77,2.06,-74.52,24.71428082,14.85,53.45232167,0.939225932,9387.5,1.6205,3737.93
3654.58,2.99,-92.03,18.54621693,11.86,61.38358441,0.918120839,9400,1.6122,3799.936667
3717.88,2.3,-99.65,27.0898144,14.16,59.74761409,0.943598021,9402.5,1.6152,3835.753333
3841.33,3.84,-94.63,40.25192421,18,64.30921309,0.955293328,9300,1.6328,3844.046667
3840.6,3.09,-89.69,40.20570299,14.91,65.82141215,0.964591946,9370,1.5866,3848.04
3825.33,1.88,-86,39.19190368,13.03,63.65273985,0.959963562,9385,1.5901,3859.75
3866.21,2.49,-78.88,43.31292544,15.52,61.53682987,0.990698294,9405,1.5955,3834.886667
3852.58,2,-73.49,42.28398771,13.52,60.08848487,0.983036749,9405,1.6127,3823.396667
3860.46,3.42,-67.79,43.1252017,16.94,57.78573596,0.985334055,9420,1.6181,3823.296667
3791.62,3.12,-68.05,37.92484313,13.82,59.56818339,0.989250734,9420,1.6184,3853.03
3818.11,4.26,-65.37,40.8792342,18.08,59.05259886,1.004826608,9385,1.627,3894.96
3860.16,3.04,-59.16,45.32747238,21.12,60.50027037,1.056252702,9387.5,1.6257,3908.836667
3880.82,2.18,-51.98,47.42067834,23.3,58.41025106,1.043826051,9405,1.6222,3911.736667
3943.9,4.25,-40.73,53.29974172,27.55,58.75523312,1.026701689,9420,1.6148,3882.966667
3901.79,3.43,-34.81,49.33405657,24.12,59.27557362,1.015932406,9430,1.5645,3876.17
3889.52,2.39,-30.75,48.20851666,21.73,59.23946121,1.016780252,9437.5,1.566,3891.286667
3857.59,1.88,-29.77,45.3114338,19.85,58.19521398,0.997770426,9440,1.5875,3901.28
3881.4,2.42,-26.76,47.82916906,22.27,56.95627013,1.007480701,9440,1.574,3926.006667
3934.87,2.56,-19.84,53.05589859,24.83,56.59867941,1.019274905,9445,1.5775,3944.896667
3887.57,2.28,-17.96,48.43334089,22.55,57.72377373,1.025305806,9445,1.5497,3999.003333
3955.58,2.2,-10.85,54.56322771,24.75,58.41636132,1.036004725,9392.5,1.6035,4037.09
3991.54,3.05,-2.3,57.44379451,27.8,57.22519266,1.034034859,9395,1.5972,4058.31
4049.89,3.11,9.09,61.68812985,30.91,56.68482175,1.043565535,9324,1.6213,4036.693333
4069.84,2.38,19.5,63.04520625,33.29,55.23947734,1.031932858,9384,1.6089,4016.64
4055.2,1.85,26.26,61.32842248,31.44,53.92665753,1.039317852,9442,1.5784,4004.616667
3985.04,1.77,25.66,53.77144047,29.67,55.70618199,1.0245583,9410,1.5886,4004.31
4009.68,1.98,26.87,55.82993827,31.65,54.07502614,1.03942617,9430,1.5793,4007.64
4019.13,2.08,28.26,56.627619,33.73,51.76323856,1.035484619,9415,1.5752,4017.086667
3984.12,2.67,26.24,52.8217089,31.06,51.63015009,1.012516297,9445,1.5649,4049.27
4019.67,1.84,27.19,56.05172187,32.9,50.80228222,1.033980096,9447.5,1.5916,4069.926667
4047.47,2.51,29.84,58.44751302,35.41,49.21426207,1.023230474,9450,1.5912,4086.17
4080.67,2.32,34.23,61.16992175,37.73,48.34395763,1.022329727,9440,1.5891,4086.346667
4081.64,2.36,37.35,61.24980368,40.09,47.15224637,1.007839719,9450,1.5704,4062.396667
4096.2,2.33,40.54,62.49696052,42.42,46.32994306,1.006476913,9447.5,1.5801,4027.7
4081.2,1.87,41.37,60.3422773,40.55,45.84923284,1.006411521,9450,1.5825,4000.913333
4009.79,1.89,35.86,51.27844542,38.66,48.52285907,1.006210728,9455,1.5771,3999.243333
3992.11,2.23,29.72,49.30384666,36.43,48.84551199,0.995618104,9467.5,1.576,4029.943333
4000.84,1.72,25.27,50.32110808,38.15,48.21654685,0.995449264,9482.5,1.608,4062.703333
4004.78,1.96,21.81,50.80093114,40.11,47.30250779,1.005185587,9477.5,1.615,4108.556667
4084.21,2.41,25.18,59.32926606,42.52,49.92732866,1.016056044,9455,1.6179,4123.973333
4099.12,2.32,28.73,60.70618791,44.84,48.82894804,1.012761058,9455,1.6197,4121.97
4142.34,3.5,34.63,64.46206423,48.34,48.95473747,1.015112714,9445,1.6105,4107.793333
4130.46,3.52,37.91,62.68832351,44.82,47.64011336,1.011960878,9442.5,1.6037,4099.473333
4093.11,2.38,37.07,57.34580056,42.44,49.00153384,0.999245642,9467.5,1.5874,4096.963333
4099.81,1.83,36.52,58.03667404,44.27,48.59785285,1.004559933,9467.5,1.606,4093.93
4105.5,2.29,36.13,58.64922543,46.56,48.62014907,1.02386908,9465,1.6129,4102.486667
4085.58,3.65,33.82,55.58986936,42.91,48.11085271,1.023413683,9467.5,1.6097,4121.146667
4090.71,2.8,32.04,56.22319133,45.71,46.52722037,1.022462783,9470.5,1.6129,4125.086667
4131.17,2.55,33.5,60.95280381,48.26,45.87170463,1.031559786,9471.5,1.6171,4121.883333
4141.56,2.87,35.1,62.08562082,51.13,44.8701543,1.014041883,9477.5,1.6197,4122.026667
4102.53,2.05,32.83,55.56432855,49.08,46.34800042,1.000831886,9485,1.6096,4141.353333
4121.56,2.03,32.2,57.8869795,51.11,45.63171468,0.994983512,9482.5,1.5994,4155.053333
4141.99,2.55,32.97,60.28691771,53.66,45.1665922,1.002791457,9497.5,1.6037,4156.19
4160.51,3.14,34.68,62.37987881,56.8,44.02683562,1.016466696,9490,1.6161,4151.313333
4162.66,2.43,35.79,62.62612969,59.23,44.10777593,1.015329979,9494,1.6696,4144.71
4145.4,1.7,34.87,59.2718951,57.53,43.62864908,1.00971867,9505,1.6698,4127.3
4145.88,0.7,33.8,59.33712115,58.23,41.452317,1.014759226,9515,1.6724,4087.2
4142.85,2.67,32.33,58.69806827,55.56,41.26929436,1.012745954,9535,1.6665,4059.693333
4093.17,3.07,26.85,49.31920815,52.49,42.99863047,0.990801637,9547.5,1.6598,4063.72
4025.58,2.89,16.85,39.96352367,49.6,46.28658544,0.971996059,9545,1.6535,4080.31
4060.33,3.1,11.61,45.66985972,52.7,49.40468648,0.989713664,9535,1.6846,4094.486667
4105.25,3.41,10.94,52.01856289,56.11,50.7207803,0.996042761,9571,1.6929,4107.296667
4075.35,3.23,7.92,47.99802903,52.88,49.95715314,0.983911115,9570,1.6908,4135.733333
4102.86,3.28,7.65,51.69717913,56.16,48.41235649,0.986143526,9565,1.7026,4153.233333
4143.68,3.21,10.61,56.62738292,59.37,47.01004531,0.995440416,9570,1.7375,4163.373333
4160.66,2.23,14.16,58.52382859,61.6,46.19075636,1.003681189,9577,1.7287,4166.7
4155.36,2.4,16.36,57.67612559,59.2,44.99998805,1.002286607,9577.5,1.7318,4200.58
4174.1,2.47,19.39,59.88849841,61.67,44.27070319,1.007543116,9568,1.7306,4227.64
4170.64,4.27,21.27,59.27244701,57.4,42.74208153,1.018926651,9577.5,1.7691,4245.39
4257,5.32,29.38,68.09435101,62.72,46.71836142,1.057487368,9505,1.7698,4241.293333
4255.28,4.19,35.27,67.77945109,58.53,45.95276418,1.048013339,9462.5,1.7677,4228.706667
4223.89,3.27,36.98,62.13233523,55.26,46.69756674,1.02889958,9502.5,1.7684,4235.616667
4244.71,3.82,39.56,64.25932543,59.08,46.20559768,1.041557167,9537.5,1.769,4221.016667
4217.52,4.98,38.96,59.55468875,54.1,45.62734071,1.027946359,9540,1.7677,4224.14
4244.62,4.25,40.2,62.50147654,58.35,44.98467351,1.024359989,9545,1.7755,4202.653333
4200.91,4.79,37.23,55.48021696,53.56,45.60219683,1.009673946,9562.5,1.7621,4210.69
4226.89,4.01,36.56,58.4667267,57.57,45.02703992,1.017213912,9575,1.7638,4222.58
4180.16,3.04,31.88,51.7430854,54.53,47.05653707,1.00145181,9585,1.7506,4241.29
4225.02,4.42,31.44,56.87071015,58.95,47.73107013,1.013038766,9575,1.7776,4251.896667
4262.56,3.29,33.72,60.6397776,62.24,47.10313655,1.001306084,9570,1.7711,4248.213333
4236.29,2.93,33.03,56.89289469,59.31,46.25076965,0.995537309,9580,1.7805,4259.936667
4256.84,3.88,33.76,59.02574336,63.19,44.98214325,1.007800866,9580,1.7727,4278.093333
4251.51,4.03,33.51,58.22112152,59.16,43.86841873,1.001601994,9585,1.7773,4283.666667
4271.46,2.82,34.53,60.3972098,61.98,42.69567454,1.012789507,9590,1.7941,4286.596667
