"rsi","sma_plus_3"
"51.74718603","4308.72"
"49.4877327","4297.72"
"50.91376439","4277.373333"
"47.91296304","4260.296667"
"43.06412548","4260.04"
"39.52133035","4269.053333"
"38.76875136","4291.213333"
"44.87030283","4315.01"
"46.43444333","4354.143333"
"53.71087733","4385.253333"
"58.85858533","4400.553333"
"66.06017154","4399.98"
"67.31622667","4384.283333"
"63.18763304","4359.28"
"63.88538516","4328.736667"
"56.19198412","4335.26"
"47.9978118","4363.076667"
"46.1738635","4398.093333"
"57.73382043","4403.386667"
"59.94951006","4424.94"
"61.16306122","4426.803333"
"58.78330944","4433.586667"
"66.31235124","4424.293333"
"57.99316611","4424.423333"
"58.24450861","4431.19"
"60.4504194","4436.316667"
"56.90576643","4448.57"
"59.63140414","4462.77"
"61.29621751","4475.296667"
"61.38473395","4483.876667"
"64.75235866","4489.66"
"65.77992718","4493.856667"
"63.30503109","4497.8"
"65.74399173","4499.223333"
"66.25939517","4514.253333"
"63.33575078","4541.02"
"65.01230452","4569.493333"
"70.4728929","4590.01"
"72.84009721","4600.173333"
"74.45654099","4615.433333"
"76.33027562","4622.97"
"74.18532815","4639.323333"
"77.09037979","4659.876667"
"76.50357108","4670.086667"
"78.13995108","4691.853333"
"81.47847099","4725.08"
"72.68822379","4774.606667"
"77.00091095","4789.62"
"81.64186879","4774.923333"
"82.40402687","4779.28"
"72.17462442","4808.226667"
"70.3444387","4849.16"
"75.37316458","4859.036667"
"76.74746847","4854.75"
"78.2006623","4825.373333"
"74.3447823","4813.71"
"70.82959785","4802.84"
"62.54756627","4814.926667"
"65.46750729","4818.986667"
"62.82756646","4818.933333"
"64.66979604","4785.776667"
"65.49478958","4775.163333"
"60.54603603","4788.446667"
"49.44897106","4856.76"
"57.51691427","4903.87"
"61.2485262","4935.556667"
"67.40504968","4945.273333"
"68.223916","4958.766667"
"67.73908747","4953.776667"
"69.10304808","4943.383333"
"70.74328008","4915.4"
"62.11338279","4907.726667"
"62.40372208","4891.53"
"58.42508754","4900.443333"
"58.63103061","4912.983333"
"55.47035548","4918.686667"
"60.34163743","4925.683333"
"61.59415995","4946.163333"
"55.3934998","4985.513333"
"60.48553007","5003.25"
"65.01858474","5002.673333"
"66.11531394","4990.236667"
"63.92758493","4994.62"
"63.68113345","4993.82"
"60.17845127","4994.88"
"63.78338378","4990.926667"
"60.98281695","5004.11"
"58.39605851","5031.58"
"60.77332441","5029.68"
"64.32092204","4993.483333"
"66.84705745","4970.466667"
"56.17893023","4986.713333"
"47.76163456","5041.33"
"54.81992138","5079.353333"
"59.35596244","5083.3"
"63.01125589","5080.836667"
"64.24710253","5075.483333"
