Open,High,Low,Close
507.99,521.79,481.55,500.25
502.48,529.8,485,521.97
523.47,524.8,485.39,496.86
498,510,442,475.22
474.74,493.98,453.01,491.98
491.98,527.01,466,516.39
516.39,534.14,510,519.28
519.29,528,500.01,514.65
514.65,514.69,487,497
496.96,515.95,495.02,507.85
507.84,508.46,496.79,503.82
503.74,516,502.27,512.18
514.4,523.09,510,511.87
511.87,514.98,505.93,506
506.94,514.98,501.25,509.3
509.3,509.42,498.13,500.85
501.49,504.75,473.33,479.04
479.01,490,472.01,474.54
475.89,484.61,470.42,474.5
474.5,477.99,471,474.89
474.86,497,471.04,487.43
489.61,489.96,473.03,477.65
477.65,485,477.16,479.78
479.99,483,474.95,475.43
477.4,478.39,456.3,468.33
468.32,476.4,459.18,473.2
473.34,492,473.32,476.57
477.78,480,465,475.9
477.43,478,462,474.62
473.08,480.13,467.43,477.98
477.99,481.58,473.59,475.49
475.47,479.62,467.76,469.47
469.47,473.69,462,462.02
463.48,465.57,443.57,452.09
452.99,452.99,407.94,425
426.62,429,378.78,395.86
395.86,431.11,390,408.76
410.92,413.53,390,399.55
400.77,409.38,396.26,400.07
399.77,452.67,393.6,438.97
440.85,441.78,418.83,423.68
423.57,423.9,400,408.76
410,414.35,396.53,403.57
405.08,408.99,396.57,401.77
399.16,403.99,368.9,375.35
375.35,386.03,365.2,374.2
374.17,397.75,371.8,391.09
389.56,393.79,377.01,384.86
384.85,385.82,372,374.68
376.29,378.11,353.75,358.74
358.71,365.07,322.04,326.21
326.24,339.43,275,323.52
322.82,347,295.89,328.59
328.56,336.99,312.37,334.8
334.8,359,326.93,355.73
355.73,395.55,349,364.01
364.01,380.08,351.1,360.89
360.85,368.06,352.1,362
362.77,383.6,354.71,378.11
378.48,405,368.07,392.6
392.99,417.99,390.48,403.38
402.01,404.32,385.92,394.52
394.52,399,370.1,383.95
384.19,386,370.96,383.65
383.2,397.29,377,390.58
390.59,394.25,385,387.53
389.06,390.65,376.2,381.21
381,393.55,378.98,385.81
385.79,388.87,380,382.04
382.05,384.55,352.4,357.18
356.81,363.71,344.34,358.86
358.78,359.1,341.22,348.69
348.69,363,344.5,355.18
355.19,358.65,349.21,350
351.03,359.5,350.09,356.96
355.71,355.99,333.33,335.7
336.37,352.83,332.99,346.14
346.14,347.96,335.5,337.99
337.99,339.47,316.61,324.7
324.55,329,318.24,324.36
324.23,333.99,322.74,325.5
326.45,332.9,320,330.22
329.96,344.17,328.8,338.38
338.37,353.1,336.27,349.99
349.99,352.15,340.4,342.16
342.16,347.75,340.6,345.39
346.19,366.35,343.4,364.77
365.37,377.77,357.3,366.43
366.43,371.52,360.28,370.65
370.09,434.8,369.85,426.63
426.64,453.92,381.55,420.93
417.85,420.3,382.95,399.98
399.97,407.22,369,376.99
376.97,395,375,389.86
389.86,415,375,387.69
388.72,394.64,371,374.88
374.87,386.39,371.7,379.03
379.04,381.8,351.8,356.47
356.47,358.49,342.05,351.2
351.19,365.93,350.7,353.12
354.29,373.5,353.01,367.17
367.17,389.99,366.67,375.99
375.99,395.11,374.31,377.37
377.05,379.22,363.38,368.5
368.5,375.33,366.37,369.98
369.98,381.34,358,376.86
376,386.6,372.25,375.49
375.48,381.99,373.32,377.01
376.09,382.31,373.03,376.53
376.53,382.86,375.23,379.52
379.52,383,374.01,375.33
376.61,378.99,360,369.16
369.89,377.89,365.61,376
376,376.99,371.31,374.38
375.05,377.5,373.16,377.26
376.03,377.26,359.01,361.3
362.74,364.59,343.97,352.03
352.02,353.74,345,345.21
345.22,364.43,339.8,348.9
348.88,358.59,348,352.24
353.33,354.41,347.03,351.67
351.67,359.3,347.44,356.52
357.3,357.3,346.21,349
348.85,349.35,327.34,329.05
329.05,335.99,315.23,322
321.96,325.61,304.99,312.67
312.65,320,307.11,318.33
318.58,333,316.52,331.79
331.77,332.31,318.78,320.01
320.88,333.99,319.9,331.56
332.52,338.99,327.49,336.92
336.9,336.9,320.92,323.06
323.03,323.72,316.63,319.86
319.85,332,316.64,328.27
329.31,329.31,311.63,316.47
316.48,319.56,311.22,317.64
317.64,320.14,310.26,313.01
313.36,316.77,310,311.07
311.1,321,310.69,321
321,321,312.6,313.81
313.82,317.01,311.96,315.42
315.42,316.58,280,282
280,289.39,255,264
264.55,280,264.07,276.8
264.55,280,264.07,276.8
272.45,305,272.45,293.97
272.45,305,272.45,293.97
272.45,305,272.45,293.97
293.89,295,271.03,275.59
275.6,280.94,262.08,266.39
266.34,272.43,263.54,267.42
267.1,268.15,216,227
227.01,230.89,152.4,171.41
172,233.9,168.5,210.98
210.69,223.15,198.04,208.03
208.02,212.84,192.17,199.69
199.69,222,195.02,211.85
211.8,220.94,207.7,216.34
216.01,216.81,201.98,210.65
211.94,228.9,205,227.16
227.75,239,226.01,234.08
234.08,240,225.55,233.64
233.42,249.99,230.03,249.19
249.33,257,241.33,255.31
254.67,309.9,254.67,274.8
274.76,278.51,243.1,263.98
263.97,266.45,225.91,236.07
236.07,242.18,220,235.79
235.12,244.98,225.52,228.98
228.96,234.8,215.75,216.9
218.04,233,208.48,226.93
226.93,241.98,221.79,238.47
238.38,244.39,223.79,227.99
227.94,231,220.02,227
226.93,229,210.43,216.81
216.46,225.86,210.59,223.37
223.44,231.14,221.77,228.3
228.78,232.89,217.28,223.88
223.92,225.99,215,220.9
220.91,222,215,220.42
220.42,223.43,217.99,219.55
219.57,223.09,218.01,223
223.02,242.35,221.37,237
237,259.31,236.9,256.99
256.81,267.92,227.75,235.63
235.61,241.23,229.2,234.7
234.69,248.78,232.01,244.7
244.6,247,232.01,237.37
237.37,245.01,235.59,240.59
240.61,249.32,239.41,245.48
245,247.8,244,245.41
245.84,247.42,232.48,236.5
236.46,241,232.05,239.65
239.63,240.97,236.07,239.55
239.53,240.98,236,237.97
237.99,238.55,234.01,236.84
236.83,256.15,236.16,252.78
252.29,254.56,245.2,253.47
253.45,260.25,245,258.34
257.95,277,255.61,274.93
275.95,284.95,265.89,281
281.03,283.88,264.94,270.78
270.72,280.5,262.2,273.09
273.46,276.46,269,272.68
272.61,279.48,270,276.71
276.71,277.57,271.12,275
275,289,274.17,287.12
287.12,296.8,283.96,290
290,296.79,285.83,296.54
296.29,297.95,289,295.31
295.66,295.66,282.99,283.25
283.25,287.69,280.46,282.01
282.36,287.75,281.42,286.75
286.79,294.26,285.78,289.27
289.27,292.99,281.9,282.8
282.8,284,249.02,256.45
256.59,265.95,249,261.81
261.97,265.27,257,261.96
261.92,262.49,256.25,260
260,272,259.24,267.74
268.28,270.07,259.5,265.94
265.98,266.52,241.84,245
245.29,250,236.4,246.94
246.99,253.75,244.91,249.23
249.23,250.52,245.12,247.94
247.93,253.83,247.25,252.87
252.91,252.96,239.96,242
242.41,248.86,236.52,247.95
247.95,248.59,238.55,244.24
243.93,246.83,239.32,246.69
246.68,256.96,244.52,253.28
253.22,256.67,251.23,254.19
254.19,255.85,250.76,253.7
253.6,261,251.65,260.54
260.57,262.98,254,255.58
255.54,256.62,251.5,253.72
253.71,254.96,243.06,244.58
244.84,246.3,238.47,243.43
243.75,243.94,231,235.99
235.99,239.42,233,236.15
236.09,237.5,233.42,236.5
236.42,236.9,219.64,223.15
222.97,224.79,210,215.8
215.78,222.88,214.05,222.88
222.83,229.67,222.44,227.5
227.36,228.29,220,222.6
222.6,224.72,220.32,223.4
223.35,227.35,221.91,222.54
222.54,226.51,221.43,224.3
224.3,236,223.91,235.74
235.71,238.64,229.1,233.45
233.25,236.22,232.01,235.98
235.61,236,228,230.24
231.04,232.29,225.7,226.12
226.12,227.26,214.98,219.52
219.52,229.93,217.52,227.23
227.17,227.56,221.45,225.16
225.18,226.99,221.81,225.48
225.5,240,224.6,236.2
236.47,239.23,230.51,231
231.05,234.9,229.87,233.83
233.83,242.25,232.31,239
239.73,242.2,236.07,238.34
238.22,238.78,229.66,235.12
235.18,235.94,227.01,228.49
228.34,240,227.35,236.87
236.92,246.57,235.29,243.2
243.22,247.01,238.62,241.96
241.83,244.99,238.02,239.13
239.13,244.51,237.99,241.3
241.3,242,237.54,241.03
241.03,244.14,235.06,235.97
235.97,239.7,232.22,237.13
237.12,239.28,235.12,237.37
237.39,237.4,234,235.66
235.43,237,234.15,235.97
235.69,236.94,231.44,232.87
233.03,234.24,230.86,231.4
231.4,234.86,231,234.43
234.4,236.52,233.75,235
235,240.9,232.92,238.99
238.8,240.67,237.4,237.76
237.87,241.64,237.66,239.22
239.69,240.1,233.1,235.59
235.72,237.96,234,235.71
235.71,237.35,234,235.17
235.32,236.8,234.87,236.46
236.46,236.52,234,236.03
236.03,236.03,231,232.11
232.11,232.51,228,228.91
228.91,231.2,220.65,223.51
223.5,226.38,221.34,225.18
225.17,226.99,222.57,224.27
224.8,225.98,222,222.99
222.99,225.9,219.03,224.4
224.4,225.26,223.07,224.99
224.95,225.48,221.86,222.7
222.65,229.4,222.31,228.17
228.05,230.79,226.67,228.7
228.7,229.75,226.83,227.8
227.88,229.57,227.25,229.03
229.14,230.7,228.29,229.4
229.3,232.04,228.06,231.64
231.64,234,230.94,232.09
232.08,237.09,231.55,235.92
236,252.05,234.35,250.09
250.02,257.39,243.2,247.76
247.76,251.58,240,248.4
248.45,249.93,242.14,243.7
243.75,245.56,239.93,244.76
244.65,245,241.06,243.64
243.6,247.99,242.64,246
245.99,247.25,242.14,243.74
243.85,243.99,238.2,240.19
240.19,242.9,239.18,241.98
242.08,243.44,240,242.98
242.98,252,242.36,251.21
251.28,251.28,247.04,248.62
248.63,256.94,248.3,256.04
256.04,268,255,262.5
262.58,265.25,253.81,257.62
257.62,260.77,253.19,254.54
254.49,256.44,252.4,255.92
256.06,261.28,254.05,260.2
260.16,274.74,258.75,271.5
271.39,278.54,267.13,268.51
268.53,271.69,264.01,265.51
265.67,273.24,263.01,270.63
270.41,271.98,265.92,268.92
268.98,294.71,268.63,285.23
284.63,298.05,283.88,291.64
291.65,317.99,291.65,310.55
310.55,310.73,281,292.68
292.54,297.13,286.02,287.55
287.49,293.7,284.29,285.67
285.67,292.4,274.92,277.89
277.74,280.73,272.31,279.43
279.15,283,276.73,276.79
276.74,278.1,275.01,275.47
275.08,279.35,274.62,278.96
278.95,281.07,276.28,276.76
276.49,277.97,275,277.68
277.5,278.55,275.79,276.61
276.61,290.53,275.9,289.01
289,292,286.5,288.78
288.97,294,287.41,293.19
292.85,297.44,286.43,294.29
294.03,297,292.19,294.01
294.01,294.57,287.27,289.85
289.85,290.08,284.53,288.01
288.29,289,281.8,284.33
284.69,285.16,276.66,280.19
280.19,282.9,276.57,282.32
282.53,285.8,279.52,280.43
280.43,285.88,280.43,285
284.91,285.86,280.63,281.13
281.13,281.65,276.6,277.48
277.48,280.43,274.19,279.63
279.94,279.97,260.41,262.19
262.19,268.95,261.01,265.05
265.05,266.79,261.6,264.33
264.11,271.5,264.07,271.15
271.15,271.16,265.71,267.73
267.53,267.88,262.32,264.48
264.74,266.99,262,265.4
265.57,266.5,260.45,261.46
261.46,262.2,254.01,256.11
256.11,259.12,254.63,256.47
256.66,256.99,221.11,224.8
224,237.66,222.01,226.92
226.4,236.66,226.4,235.54
235.15,236.66,231.77,233.49
233.5,235.2,223.01,231
231,234.03,225.85,228.89
228.35,228.99,207.73,209.72
209.76,228.04,198.12,222.38
222.38,231.09,219.77,225.8
225.8,228.89,223.17,225.09
225.09,235.93,220.29,231.65
231.76,233.9,226.67,230.54
230.41,232.75,225.04,229
229.04,232.49,224.39,229.86
230.25,231.67,226.17,227.96
227.97,230.77,226,229.18
228.95,229.96,226.5,227.28
227.24,231.4,226.33,230.52
230.72,237.22,229.23,235.6
235.39,244.2,235.02,240.28
240.28,242.91,238.44,240.19
240.07,246.24,239.98,244.21
244.04,244.22,237.01,238.35
238.35,241.65,234.78,238.66
238.57,240.94,237.5,240
239.92,240,233.02,234.79
234.79,236.09,228,229.66
229.66,232.92,223.99,229.71
229.84,231.21,226.5,230.03
229.99,230.5,223,228.34
228.34,235,227,232.17
232.2,234.4,230.83,233.12
233.24,233.76,229.89,230
230,231.7,229,230.16
230.1,230.15,225,226.15
226.15,231.96,223.12,230.42
230.08,231.5,228,229.42
229.42,235.52,228.89,233.86
233.88,237.25,232.56,235.22
235.14,235.67,233,233.81
233.81,234.61,231.16,232.41
232.4,239.68,231.69,239.14
239.14,240.56,235.09,236.94
236.78,238.27,234.67,236.2
235.87,239.44,235.01,237.15
238,239.06,235,237.77
237.77,239.86,236.3,238.95
239.06,239.98,237.62,238.6
238.6,240.85,236.1,240.84
240.85,248.19,239.52,246.57
246.79,247.65,242.3,243.2
243.47,244.76,242.06,242.9
243.29,244.95,242.16,244.48
244.49,246.43,243,245.71
245.71,248.5,244.53,248.05
248.05,248.47,245.01,245.81
245.81,250.89,242.82,249.73
249.97,255.93,248.06,252.47
252.47,256.5,250.3,254.49
254.49,267,253.69,263.09
263.09,273,260.8,270.07
270.04,271.17,260,261.05
260.99,266.01,259.82,263.66
264.28,272.95,262.67,270.64
270.3,272.69,264,267.89
267.9,280.04,267.39,275.21
275.21,280.19,273.46,278.6
278.6,284,278.22,282.84
283.03,296,282.2,283.96
283.96,286.99,279.25,286.9
286.9,300,286.15,295.54
295.8,308.48,294.4,305.67
