open,high,low,close,volume,nextopen
450.63,458,446.1,454.99,5.53,454.99
454.99,454.99,432.88,441.5,11.53,441.5
441.5,445.22,432.21,440.82,7.19,440.82
440.82,444.76,436.45,440.78,4.51,440.78
440.78,445.52,440.78,445.52,0.8711,445.52
445.52,449.59,440.89,449.59,3.02,449.59
449.59,453.83,447.1,453.83,5.59,453.83
453.83,453.83,446.2,453.83,0.2061,453.83
453.83,453.83,445.56,445.56,2.58,445.56
445.56,445.56,445.56,445.56,0,445.56
445.56,498.84,445.56,493.43,25.28,493.43
493.43,497.67,490.85,494.77,4.24,494.77
494.77,530,494.77,530,32.85,530
530,548.05,515.31,521.47,14.82,521.47
521.47,530,515.21,530,2.62,530
530,589,530,574.05,15.83,574.05
574.05,589.11,563.68,583.2,10.95,583.2
583.2,594.64,538.84,570.92,26.92,570.92
570.92,589.16,565.22,575.83,4.52,575.83
575.83,576.26,564.9,570.49,2.18,570.49
570.49,628.61,566.15,616.08,18.38,616.08
616.08,628.13,603.87,628.13,15.4,628.13
628.13,673.37,621.79,627.54,37.05,627.54
627.54,672.64,621.79,665.58,10.32,665.58
665.58,677.91,652.26,671.43,16.68,671.43
671.43,671.43,525,650.48,59.16,650.48
650.48,669.75,650.45,657.01,15.16,657.01
657.01,660,653.4,653.4,5.27,653.4
653.4,659.8,636.68,659.8,4.75,659.8
659.8,659.8,646,646.54,0.888,646.54
646.54,656.44,636.5,643.44,4.65,643.44
643.44,657.72,643.44,646.89,7.13,646.89
646.89,649.93,617.99,617.99,19.6,617.99
617.99,637.06,552,565.56,75.97,565.56
565.56,617.31,565.56,589.68,19.43,589.68
589.68,600,542.96,575.6,15.89,575.6
575.6,589.55,534.28,589.55,34.51,589.55
589.55,612.91,574.18,597.14,10.67,597.14
597.14,608.98,586.25,608.97,2.8,608.97
608.97,625,603.41,605.89,10,605.89
605.89,627.05,594.12,595.93,8.41,595.93
595.93,602.79,578.51,593.9,5.81,593.9
593.9,598.5,581.09,590.59,0.7642,590.59
590.59,602.33,584.75,596.24,8.34,596.24
596.24,596.24,584.42,584.42,2.64,584.42
584.42,595.23,576.13,586.15,2.85,586.15
586.15,586.15,557.43,564.42,29.23,564.42
564.42,583.26,564.42,583.26,2.76,583.26
583.26,600,575.35,597.69,21.78,597.69
597.69,604.38,590.76,596.12,4.14,596.12
596.12,602.3,589.76,589.76,0.9983,589.76
589.76,645,587.72,637.07,18.67,637.07
637.07,657.83,634.16,650,12.04,650
650,658.87,638,645.77,25.77,645.77
645.77,655.08,638.89,647.55,6.04,647.55
647.55,655,622.6,635.25,10.3,635.25
635.25,635.25,618,628.99,3.74,628.99
628.99,652.78,628.99,629.1,2.25,629.1
629.1,638.97,614.74,625.99,6.47,625.99
625.99,626.87,614.74,617.04,1.44,617.04
617.04,627.9,615.35,627.9,1.63,627.9
627.9,632.11,614.47,614.47,0.6427,614.47
614.47,629.46,614.47,629.46,1.5,629.46
629.46,639.34,629.46,632,0.6899,632
632,653.49,625.29,626.5,1.05,626.5
626.5,632.67,618.14,626.23,1.34,626.23
626.23,626.23,620.03,620.03,0.18,620.03
620.03,626.16,612.9,625.22,7.41,625.22
625.22,630.01,610.35,624.98,0.9631,624.98
624.98,629,615.17,626,12.29,626
626,630,626,630,1.56,630
630,630,619,619,0.5068,619
619,629.77,619,629.77,0.0006352,629.77
629.77,629.77,618.69,618.69,8.44,618.69
618.69,623.98,610,618.62,7.5,618.62
618.62,623.43,593.86,605.64,17.72,605.64
605.64,623.22,593.8,596.08,8.67,596.08
596.08,607.96,593.8,600,5.06,600
600,600,600,600,0.1545,600
600,600,574.58,591.9,4.09,591.9
591.9,597.66,575.07,583.21,2.68,583.21
583.21,588.98,566.75,566.75,11.67,566.75
566.75,591.95,566.75,590.21,33.05,590.21
590.21,602.36,584.77,596.4,3.05,596.4
596.4,601.18,590.49,590.49,2.57,590.49
590.49,594.8,578.86,578.86,1.79,578.86
578.86,596.25,578.86,596.25,4.11,596.25
596.25,598.03,579,579,9.04,579
579,579,579,579,0,579
579,593,577.24,580.58,16.81,580.58
580.58,590,580.58,590,0.4273,590
590,590,578.14,590,7.8,590
590,595.36,583.24,583.24,1.66,583.24
583.24,595.36,572.77,572.77,0.4779,572.77
572.77,580,566.99,580,3.82,580
580,580,531.64,535.08,4.35,535.08
535.08,553.83,501,523.76,31.83,523.76
523.76,530,501,530,22.87,530
530,530,500,503.52,12.1,503.52
503.52,539.99,500,500,2.65,500
500,505,455,455,28.55,455
455,500.5,455,500.5,77.76,474.02
474.02,530,474.02,530,13.53,530
530,530,500.01,505,4.62,505
505,529.97,482.22,529.95,9.62,529.95
529.95,529.95,482.27,525,0.5639,525
525,525,524.88,524.88,0.7,524.88
524.88,524.88,490.1,516.12,26.86,516.12
516.12,516.12,516.12,516.12,0,516.12
516.12,524.85,516.12,524.85,1.31,524.85
524.85,524.85,495.08,495.08,0.02382,495.08
495.08,524.88,495.08,524.88,0.5178,524.88
524.88,524.88,495.26,524.27,0.4584,524.27
524.27,524.27,490.5,509.98,5.61,509.98
509.98,509.98,490.01,490.01,0.09953,490.01
490.01,524.77,490.01,524.77,0.00003811,524.77
524.77,524.77,524.77,524.77,0,524.77
524.77,524.77,475,475.01,3.41,475.01
475.01,475.01,475.01,475.01,0,475.01
475.01,524.77,475.01,524.77,0.1769,524.77
524.77,524.77,480,480,1.24,480
480,524.77,465,488.77,41.14,488.77
488.77,488.77,465,475,0.5077,475
475,475,475,475,0.02,475
475,475,475,475,1.01,475
475,475,475,475,0,475
475,475,474.77,474.77,0.1492,474.77
474.77,490,474.77,490,0.212,490
490,490,465.01,465.01,3.08,465.01
465.01,528,465,465,2.76,465
465,465,445,445,5.14,445
445,503.18,400,503.18,18.12,503.18
503.18,503.18,375.94,375.94,1.5,375.94
375.94,466.67,375.94,385,0.1559,385
385,450,385,385.01,1.2,385.01
385.01,425,295,404.83,24.18,404.83
404.83,453,404.83,449.81,6.9,449.81
449.81,449.81,412.34,433.15,4.09,433.15
433.15,433.15,397,397,4.51,397
397,397,397,397,0,397
397,397,397,397,0,397
397,450,387.63,390,10.78,390
390,394,370.01,370.94,0.7155,370.94
370.94,393.22,370.12,380.02,6.68,380.02
380.02,390,380.02,390,2,390
390,390,370.1,370.11,0.275,370.11
370.11,389.98,355,355,20.27,355
355,369.63,322.11,322.11,38.11,322.11
322.11,330,273.33,330,18.72,330
330,349.85,300,349.85,53.41,349.85
349.85,349.85,315.06,335,0.12,335
335,359.98,335,359.98,8.1,359.98
359.98,400,335.16,370.19,30.22,370.19
370.19,378.99,355.59,355.59,7.78,355.59
355.59,379,355.59,357.18,0.4618,357.18
357.18,379,352.83,379,16.63,379
379,400,370.1,400,20.85,400
400,418.99,395.28,411.26,29.73,411.26
411.26,411.26,385.48,400.31,11.23,400.31
400.31,400.31,374.61,389.14,16.08,389.14
389.14,389.14,376.73,381.01,0.05216,381.01
381.01,395.79,371,395.79,0.9598,395.79
395.79,395.79,395.79,395.79,0,395.79
395.79,395.79,391.24,391.24,0.05,391.24
391.24,391.58,371,391.58,9.92,391.58
391.58,393.49,371.38,388.71,2.66,388.71
388.71,388.71,365,368.64,11.95,368.64
368.64,373.69,355,373.35,7.6,373.35
373.35,373.35,355,359.51,7.81,359.51
359.51,384.72,359.51,362.5,6.12,362.5
362.5,368.15,362.5,364.3,0.04324,364.3
364.3,365.13,352.01,365.13,0.5898,365.13
365.13,365.13,335.01,335.07,8.87,335.07
335.07,350,335,346.02,7.56,346.02
346.02,347.95,344.29,347.95,0.03559,347.95
347.95,347.95,320,320,5.66,320
320,325.19,320,323.94,0.1154,323.94
323.94,325.19,323.94,325,4.97,325
325,330,325,325,16.87,325
325,348.2,325,328.2,9.73,328.2
328.2,349.17,328.2,348,0.04009,348
348,348,333,347.08,6.6,347.08
347.08,350,330.16,350,4.81,350
350,350,338.66,350,19.36,350
350,370,350,355,3.57,355
355,372.63,355,371.7,5.42,371.7
371.7,430.36,371.7,423.48,219.46,423.48
423.48,450,380,415,65.88,415
415,417.77,395,395,23.16,395
395,395,378.97,379.99,10.68,379.99
379.99,395,379.56,380,1.56,380
380,414.26,376,400,25.27,400
400,400,370.39,375.02,13.23,375.02
375.02,392.96,375.02,390,0.9256,390
390,390,354.33,354.38,67.07,354.38
354.38,360,342.66,360,1.64,360
360,370,360,370,4.05,370
370,370,360,370,4.76,370
370,385,370,372,11.24,372
372,390,372,376,10.13,376
376,389.94,366.42,372.87,19.24,372.87
372.87,385.69,365.01,376.9,2.38,376.9
376.9,387,360.52,387,23.27,387
387,387,379.09,379.09,4.2,379.09
379.09,386.32,379.09,386.32,0.001595,386.32
386.32,386.74,370.13,374.03,4.18,374.03
374.03,386.15,372.91,386.15,3.81,386.15
386.15,386.15,371.46,380,23.49,380
380,380,364.72,379.75,3.76,379.75
379.75,380,375.19,375.19,4.68,375.19
375.19,394.59,367,374,34.17,374
374,389.98,370.43,373.07,0.3818,373.07
373.07,376.06,360.29,362.58,4.53,362.58
362.58,376,342.46,345.49,6.64,345.49
345.49,357.5,345.49,345.56,0.1607,345.56
345.56,372.12,342.5,372.12,0.7364,372.12
372.12,372.12,346.77,360,0.9118,360
360,360,350,352,33.15,352
352,358.98,350,350,0.6043,350
350,358.98,342.04,343.07,22.78,342.04
342.04,358.92,330.09,330.09,4.45,330.09
330.09,355.33,315.02,329.99,30.11,329.99
329.99,332.17,310,320,5.86,320
320,368.12,310.03,349.98,23.07,349.98
349.98,349.98,348.99,348.99,1.87,348.99
348.99,348.99,319.67,325.01,39.87,325.01
325.01,327.06,325.01,327.06,1.08,327.06
327.06,342.08,327.06,338.75,0.5716,338.75
338.75,338.75,320.38,320.38,4.11,320.38
320.38,320.38,320.38,320.38,0,320.38
320.38,320.48,320.38,320.48,0.01,320.48
320.48,320.48,313.37,313.37,3.74,313.37
313.37,320.04,313.01,313.01,1.9,313.01
313.01,325,313.01,314.76,29.97,314.76
314.76,338.95,313,313,4.55,313
313,319.14,313,319.14,9.61,319.14
319.14,325,314.03,325,0.435,325
325,325,313.18,315.3,8.92,315.3
315.3,319.93,295,295,52.48,295
295,297.48,265.87,265.87,25.49,265.87
265.87,280,252.32,277.4,61.92,277.4
277.4,293.66,260,281.15,8.48,281.15
281.15,300,269,300,7.71,300
300,300,283.53,283.53,8.34,283.53
283.53,295.72,283,283.5,3.5,283.5
283.5,300,274.73,277.78,53.89,277.78
277.78,277.78,265,265,1.77,265
265,300,263.02,265.06,59.03,265.06
265.06,268,215.09,216,200.71,216
216,230.99,175,175,204.92,175
175,236.47,175,219,133.32,219
219,219,195.2,213.36,44.71,213.36
213.36,213.36,196,200,9.22,200
200,220,199.5,219.98,31.12,219.98
219.98,219.98,206,211.01,7.54,211.01
211.01,219.84,208.4,219.82,5.22,219.82
219.82,225.91,206.1,224.49,47.35,224.49
224.49,241.02,224.49,227.02,26.41,227.02
227.02,231.24,222.68,228.04,10.24,228.04
228.04,251.36,228.02,250.87,108.7,250.87
250.87,257.06,241.28,257.06,46.71,257.06
257.06,307.05,250.04,270,86.66,270
270,270,205,250.85,59.44,250.85
250.85,280,248,248,66.57,248
248,248,222.28,231.83,36.22,231.83
231.83,239.36,220,220,55.19,220
220,239.98,216.69,216.69,13.39,216.69
216.69,239.98,210.01,239.98,5.1,239.98
239.98,239.98,223.94,228,5.23,228
228,246.93,228,235.45,18.47,235.45
235.45,235.45,221.85,228.9,15.17,228.9
228.9,228.9,215.25,217,17.34,217
217,225,215,221.92,12.4,221.92
221.92,231.58,218.44,229.66,1.81,229.66
229.66,229.66,218.81,229.23,14.25,229.23
229.23,229.23,215,220.5,16.66,220.5
220.5,221.92,215,215.01,3.39,215.01
215.01,215.01,205,207.2,5.63,207.2
207.2,224,207.2,224,2.52,224
224,240,207,232.8,58.79,232.8
232.8,250,228,250,44.01,250
250,264.8,228,233.94,48.46,233.94
233.94,250.66,227.67,250.66,27.26,250.66
250.66,250.66,230.3,249.98,7.42,249.98
249.98,249.98,230.3,236,14.94,236
236,244.06,236,240.1,6.17,240.1
240.1,248.5,240.1,241.03,40.23,241.03
241.03,244.09,240.09,240.12,0.2377,240.12
240.12,247.44,235,235,21.4,235
235,239.9,234.08,236.12,28.05,236.12
236.12,238,236.12,238,0.88,238
238,240.18,237.02,237.02,6.48,237.02
237.02,239.64,235,239.64,22.71,239.64
239.64,259.42,238,256,122.77,256
256,256,244,250.13,43.61,250.13
250.13,261.5,240.01,250.36,24.21,250.36
250.36,280,249.89,271.37,53.78,271.37
271.37,280.09,264.69,277,24.73,277
277,285.73,267.32,269.4,36.32,269.4
269.4,278.61,265.17,274.49,16.6,274.49
274.49,275.46,260,260,10.93,260
260,270,260,269.93,0.1874,269.93
269.93,280,269.93,270.08,3.76,270.08
270.08,297.51,270.08,297,18.78,297
297,300,287.21,295,26.6,295
295,299.94,289,295.68,37.08,295.68
295.68,296.94,289.37,290.28,10.73,290.28
290.28,293,272,285,77.95,285
285,288.63,272.64,282.33,54.76,282.33
282.33,288,281.51,288,0.1454,288
288,294.44,288,294.44,32.99,294.44
294.44,294.96,284,284,17.76,284
284,288.2,250,257.48,37.81,257.48
257.48,280.87,253.45,255,6.26,255
255,271,255,261.65,1.21,261.65
261.65,272.49,259.68,259.68,0.1201,259.68
259.68,271.34,258.06,271.34,18.18,271.34
271.34,272,263,266.58,9.08,266.58
266.58,266.58,245,255.33,28.13,255.33
255.33,255.33,237.69,250.98,10.57,250.98
250.98,269,250.05,251.9,14.12,251.9
251.9,252,242.88,252,0.6849,252
252,255.7,247.81,252.5,2.12,252.5
252.5,252.5,240.44,243.59,4.38,243.59
243.59,269,240.19,269,4.65,269
269,269,244.42,244.42,1.03,244.42
244.42,249.24,241.06,242.98,17.81,242.98
242.98,255.93,240,251.2,16.16,251.2
251.2,256,249.37,252.9,6.6,252.9
252.9,255,249.52,249.56,9.16,249.56
249.56,259.99,249.56,259.99,1.45,259.99
259.99,262.42,253.01,254.38,8.99,254.42
254.42,256.88,246.51,248.84,25.79,248.84
248.84,258.24,244.39,249.46,13.77,249.46
249.46,249.46,239.96,249.27,7.55,249.27
249.27,249.27,232.85,242.5,37.67,242.5
242.5,242.5,230.76,232.58,23.62,232.58
232.58,240,232.58,240,18.94,240
240,254.38,223.54,227.94,21.32,227.94
227.94,231.85,216.5,221.98,41.27,221.98
221.98,224,219.66,220.11,12.48,220.11
220.11,234.7,220.11,233.6,9.11,233.6
233.6,233.6,223.01,223.01,2.31,223.01
223.01,227.49,222,222.02,4.91,222.02
222.02,229,222.02,226.79,10.28,226.79
226.79,228,223.26,223.6,39.33,223.6
223.6,235.23,223.6,234.74,93.12,234.74
234.74,238.89,232.09,233.27,41.04,233.27
233.27,235.69,231,234.99,23.61,234.99
234.99,237.58,227.96,230.96,42.22,230.96
230.96,232.14,226.03,227.49,5.8,227.49
227.49,227.49,216.34,220.15,35.01,220.15
220.15,238.56,217.34,228.26,28.26,228.26
228.26,233.25,224,224.84,42.78,224.84
224.84,232,224,226,24.59,226
226,239.65,225.69,237.31,49.81,237.31
237.31,238.97,231.7,232.1,30.42,232.1
232.1,239.09,231.21,234.15,31.21,234.15
234.15,242.5,234.15,240.36,24.95,240.36
240.36,242.11,236.19,236.19,12.16,236.19
236.19,239.11,231.42,235.59,14.64,234.88
234.88,239.35,228,228,50.49,228
228,242.44,227,235.71,25.63,235.71
235.71,243,234.8,240.51,14.68,240.51
240.51,243,234.13,241.74,14.44,241.74
241.74,242.62,236.13,239.24,8.45,239.24
239.24,243.15,238.8,241.86,35.81,241.86
241.86,242.99,237.55,242.99,32.16,242.99
242.99,244,235.08,235.09,63.85,235.09
235.09,237.99,235,236.47,7.28,238.51
238.51,240.05,237.49,238.98,1.22,238.98
238.98,239.39,235.14,237.35,3.67,237.35
237.35,237.57,235.6,235.86,1.39,235.86
235.86,236.62,231.91,233.34,13.18,233.34
233.34,233.91,231.43,232.78,24.91,232.78
232.78,235.06,231.1,234.8,23.32,234.55
234.55,238.18,233.97,236.09,11.64,236.09
236.09,244,233.91,237.59,63.87,237.59
237.59,240.84,237.39,237.39,28.22,237.39
237.39,241.13,237.39,240.68,10.83,240.68
240.68,240.68,234.83,235.92,31.94,236.19
236.19,237.11,235.17,236.03,6.32,236.03
236.03,238,234.77,235.3,8.24,235.3
235.3,237.9,234.03,235.83,1.62,235.83
235.83,235.92,234.91,234.91,8.44,234.91
234.91,235.24,230.55,232.81,13.47,232.81
232.81,235.86,227.59,227.59,12.77,227.59
227.59,232.4,222.03,224.23,33.59,224.23
224.23,229.5,222.29,229.5,4.71,229.5
229.5,229.5,226,227,23.8,227
227,228.79,223.04,223.12,48.91,223.12
223.12,228.3,220.34,225,35.25,225
225,225.65,223.7,223.7,5.36,223.7
223.7,225.33,223.7,224.35,0.3,224.35
224.35,224.35,224.35,224.35,0,226.79
226.79,230.92,226.79,230.92,2.41,230.92
230.92,230.92,226.57,227.26,8.95,227.26
227.26,231.59,227.26,228.92,33.69,228.92
228.92,233.15,228.86,229.44,62.23,229.44
229.44,231.06,226.14,231.04,25.31,232
232,233.29,231.19,232.15,18.23,232.15
232.15,235.54,231.34,235.54,20.07,235.54
235.54,251,233.82,247.14,140.78,247.14
247.14,256.38,245.03,245.03,67.31,245.03
245.03,252.66,244,247.5,29.81,247.69
247.69,249.63,227,245.5,116.85,245.5
245.5,245.5,241.5,243.85,19.41,243.85
243.85,244.96,238.05,241,41.9,241
241,248.08,241,248.08,39.37,248.08
248.08,248.08,243.72,243.72,49.66,243.72
243.72,243.72,240.17,241.67,1.31,241.67
241.67,244,239.53,242.04,16.47,242.04
242.04,244,242,242,1.76,242
242,251.93,242,251.93,33.66,251.93
251.93,260,247.45,248.5,55.48,248.5
248.5,268.5,248.5,268.47,95.24,268.47
268.47,273,258.49,262.63,67.94,262.63
262.63,265.02,255.5,258.1,71.06,258.1
258.1,259.76,253.43,254.74,15.94,254.74
254.74,273,252.88,254.01,19.88,254.01
254.01,263,254.01,262,17.28,262
262,274.68,257.12,269.62,69.67,269.62
269.62,278,268.14,274.59,96.76,274.59
274.59,274.59,265,265.36,29.65,265.36
265.36,276.32,265.36,270.01,35.2,270.01
270.01,275.67,267.39,269.67,34.26,269.67
269.67,297,268.96,284.54,167.87,284.54
284.54,298.99,283.06,293.6,71.96,293.6
293.6,316.01,291.69,308.14,138.95,308.14
308.14,312.3,269,290.18,337.1,290.18
290.18,295.97,286.79,288.75,36.2,288.75
288.75,293.79,287.5,287.5,9.26,287.5
287.5,292,273.4,276.74,54.21,276.74
276.74,281.31,275.52,280.38,4.76,280.38
280.38,281.69,274.92,278.01,14.07,278.01
278.01,279.57,274.32,275.54,0.4725,275.54
275.54,280.4,275.54,277.56,83.54,277.56
277.56,281.41,276.45,276.45,20.68,276.45
276.45,279.38,275.31,276.98,60.14,276.98
276.98,278.4,276.03,276.89,24.71,276.89
276.89,290,276.18,290,41.53,290
290,291.81,286.67,288.92,27.57,288.92
288.92,293.85,287.83,291.28,8.72,291.28
291.28,296.1,286.55,296.1,11.07,296.1
296.1,296.8,287,293.56,57.37,293.56
293.56,293.56,280,291.61,29.31,291.61
291.61,291.61,280,288.96,30.74,288.96
288.96,293.48,280,293.48,41.34,293.48
293.48,293.48,277.12,283.27,63.84,283.27
283.27,289.89,277.91,283.84,0.8988,283.84
283.84,285.51,280.57,283.87,18.34,283.87
283.87,287.68,280.53,287.68,21.61,287.68
287.68,287.77,281.02,284.83,30.98,284.83
284.83,286.96,278.6,278.67,19.72,278.67
278.67,290,274.15,281.04,62.78,281.04
281.04,283.78,263.83,263.83,20.31,263.83
263.83,269.77,258,269.77,23.82,269.77
269.77,273.88,262.49,266.85,19.33,266.85
266.85,270,260,270,99.5,270
270,270,265.49,270,61.28,270
270,270,261.64,264.03,138.89,264.03
264.03,270,262.01,268.33,368.75,268.33
268.33,269.22,265.22,265.55,164.32,265.55
265.55,270,257.01,260.35,263.6,260.35
260.35,263.12,257.57,258.64,88.91,258.64
258.64,259.93,247.99,247.99,480.9,247.99
247.99,247.99,188.11,230.12,422.39,230.12
230.12,238.71,228.91,236.87,527.39,236.87
236.87,238.71,232.62,234.39,137.94,234.39
234.39,235.32,223.1,231.99,171.18,231.99
231.99,232.38,226.07,228.13,52.24,228.13
228.13,228.13,209.79,212.48,288.68,212.48
212.48,235.99,204.01,224.7,535.65,224.7
224.7,243.38,223.11,227.87,153.24,227.87
227.87,233,225.31,226.01,176.15,226.01
226.01,237.98,222.57,233.15,263.59,233.15
233.15,234.97,228.95,229,99.35,229
229,233.1,226.68,228.5,61.66,228.5
228.5,233.51,226,230.92,98.64,230.92
230.92,231.12,226.87,229.24,100.04,229.24
229.24,232.99,226.82,226.82,191.81,226.82
226.82,231.13,226.17,226.94,292.34,226.94
226.94,231.79,226.55,231.01,151.63,231.01
231.01,237,230.25,236.32,173.97,236.32
236.32,243.38,236.32,241.99,112.16,241.99
241.99,242.78,239.13,241.07,148.82,241.07
241.07,246.51,240.35,243.27,253.52,243.27
243.27,244.97,238.18,239.03,194.48,239.03
239.03,240.46,236.99,238.16,43.19,238.16
238.16,241.65,238.16,239.43,69.18,239.43
239.43,242.12,233.67,236.21,111.08,236.21
236.21,237.45,228.68,232.43,88.56,232.43
232.43,232.64,226.32,230.65,468.96,230.65
230.65,232.32,228.6,229.12,122.06,229.12
229.12,232.2,226.91,229.08,65.86,229.08
229.08,236,227.88,233.37,43.24,233.37
233.37,235.5,231.92,232.83,62.93,232.83
232.83,233.29,230,232.01,70.59,232.01
232.01,232.01,230.17,230.17,1.97,230.17
230.17,231.49,226.95,227.17,32.07,227.17
227.17,233.86,223.1,228.6,155.16,228.6
228.6,231.08,228.23,230.24,101.29,230.24
230.24,235,229.71,231.78,41.49,231.78
231.78,237.2,231.78,236,142.01,236
236,236,233.46,233.49,52.56,233.49
233.49,235,230.62,230.62,29.87,230.62
230.62,239.97,230.62,239.42,120.69,239.42
239.42,240,235,238.02,95.55,238.02
238.02,238.02,235,236,40.02,236
236,238,234.59,237.8,37.17,237.8
237.8,239.86,236.46,236.98,71,236.98
236.98,238.8,236.43,238.8,18.77,238.8
238.8,239.95,237.6,238.97,12.85,238.97
238.97,240.44,237.16,240,81.09,240
