"open","high","low","close","volume","ema26","cny","ltc","next1"
445.56,445.56,445.56,445.56,0,454.1515725,6.22023,0.02338,493.43
445.56,498.84,445.56,493.43,25.28,457.0610857,6.22341,0.02223,494.77
493.43,497.67,490.85,494.77,4.24,459.8543386,6.223823,0.02179,530
494.77,530,494.77,530,32.85,465.0503135,6.220633,0.0204,521.47
530,548.05,515.31,521.47,14.82,469.2295495,6.221798,0.02146,530
521.47,530,515.21,530,2.62,473.7310644,6.22142,0.0214,574.05
530,589,530,574.05,15.83,481.1620967,6.221981,0.02031,583.2
574.05,589.11,563.68,583.2,10.95,488.7204599,6.222864,0.01992,570.92
583.2,594.64,538.84,570.92,26.92,494.8093147,6.225774,0.01977,575.83
570.92,589.16,565.22,575.83,4.52,500.8108469,6.233545,0.01934,570.49
575.83,576.26,564.9,570.49,2.18,505.9722657,6.234399,0.01914,616.08
570.49,628.61,566.15,616.08,18.38,514.1283941,6.225683,0.01847,628.13
616.08,628.13,603.87,628.13,15.4,522.5729575,6.232125,0.01773,627.54
628.13,673.37,621.79,627.54,37.05,530.348294,6.231875,0.01749,665.58
627.54,672.64,621.79,665.58,10.32,540.3654574,6.232022,0.01736,671.43
665.58,677.91,652.26,671.43,16.68,550.0739421,6.232402,0.01729,650.48
671.43,671.43,525,650.48,59.16,557.5114278,6.238001,0.01733,657.01
650.48,669.75,650.45,657.01,15.16,564.8816924,6.234932,0.01726,653.4
657.01,660,653.4,653.4,5.27,571.4386041,6.239413,0.01715,659.8
653.4,659.8,636.68,659.8,4.75,577.9838927,6.235367,0.01717,646.54
659.8,659.8,646,646.54,0.888,583.0621229,6.233668,0.01723,643.44
646.54,656.44,636.5,643.44,4.65,587.5345582,6.232608,0.01739,646.89
643.44,657.72,643.44,646.89,7.13,591.9312576,6.224108,0.0171,617.99
646.89,649.93,617.99,617.99,19.6,593.8615348,6.212848,0.01724,565.56
617.99,637.06,552,565.56,75.97,591.7651248,6.211429,0.01737,589.68
565.56,617.31,565.56,589.68,19.43,591.6106711,6.204995,0.01703,575.6
589.68,600,542.96,575.6,15.89,590.4246955,6.201048,0.0172,589.55
575.6,589.55,534.28,589.55,34.51,590.3599032,6.201038,0.01687,597.14
589.55,612.91,574.18,597.14,10.67,590.8621326,6.199568,0.01635,608.97
